service_id,date,exception_type
MQ_A5-Weekday-SDon,20250120,2
MQ_A5-Weekday-SDon,20250217,2
MQ_A5-Weekday-SDon,20250129,2
MQ_A5-Weekday-SDon,20250218,2
MQ_A5-Weekday-SDon,20250219,2
MQ_A5-Weekday-SDon,20250220,2
MQ_A5-Weekday-SDon,20250221,2
MQ_A5-Weekday,20250129,1
MQ_A5-Weekday,20250218,1
MQ_A5-Weekday,20250219,1
MQ_A5-Weekday,20250220,1
MQ_A5-Weekday,20250221,1
MQ_A5-Saturday,20250217,1
MV_A5-Weekday-SDon,20250120,2
MV_A5-Weekday-SDon,20250217,2
MV_A5-Weekday-SDon,20250129,2
MV_A5-Weekday-SDon,20250218,2
MV_A5-Weekday-SDon,20250219,2
MV_A5-Weekday-SDon,20250220,2
MV_A5-Weekday-SDon,20250221,2
MV_A5-Weekday,20250129,1
MV_A5-Weekday,20250218,1
MV_A5-Weekday,20250219,1
MV_A5-Weekday,20250220,1
MV_A5-Weekday,20250221,1
MV_A5-Saturday,20250217,1
MV_A5-Saturday-BM,20250216,1
OF_A5-Weekday-SDon,20250120,2
OF_A5-Weekday-SDon,20250217,2
OF_A5-Weekday-SDon,20250129,2
OF_A5-Weekday-SDon,20250218,2
OF_A5-Weekday-SDon,20250219,2
OF_A5-Weekday-SDon,20250220,2
OF_A5-Weekday-SDon,20250221,2
OF_A5-Weekday,20250129,1
OF_A5-Weekday,20250218,1
OF_A5-Weekday,20250219,1
OF_A5-Weekday,20250220,1
OF_A5-Weekday,20250221,1
OF_A5-Saturday,20250217,1
OH_A5-Weekday-SDon,20250120,2
OH_A5-Weekday-SDon-BM,20250119,2
OH_A5-Weekday-SDon,20250217,2
OH_A5-Weekday-SDon-BM,20250216,2
OH_A5-Weekday-SDon,20250129,2
OH_A5-Weekday-SDon-BM,20250128,2
OH_A5-Weekday-SDon,20250218,2
OH_A5-Weekday-SDon-BM,20250217,2
OH_A5-Weekday-SDon,20250219,2
OH_A5-Weekday-SDon-BM,20250218,2
OH_A5-Weekday-SDon,20250220,2
OH_A5-Weekday-SDon-BM,20250219,2
OH_A5-Weekday-SDon,20250221,2
OH_A5-Weekday-SDon-BM,20250220,2
OH_A5-Weekday,20250129,1
OH_A5-Weekday-BM,20250128,1
OH_A5-Weekday,20250218,1
OH_A5-Weekday-BM,20250217,1
OH_A5-Weekday,20250219,1
OH_A5-Weekday-BM,20250218,1
OH_A5-Weekday,20250220,1
OH_A5-Weekday-BM,20250219,1
OH_A5-Weekday,20250221,1
OH_A5-Weekday-BM,20250220,1
OH_A5-Saturday,20250217,1
OH_A5-Saturday-BM,20250216,1
