trip_id,route,direction,stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,1,8:55:00,8:55:00,402221,15.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,2,8:56:30,8:56:30,402222,15.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,3,8:58:00,8:58:00,402223,2.0,2
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,4,8:59:41,8:59:41,402224,20.0,2
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,5,9:00:51,9:00:51,403617,9.0,2
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,6,9:03:00,9:03:00,803117,20.0,2
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,7,9:04:38,9:04:38,402228,6.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,8,9:07:15,9:07:15,402229,6.0,2
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,9,9:09:30,9:09:30,400744,29.0,2
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,10,9:11:00,9:11:00,400745,27.0,2
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,11,9:13:47,9:13:47,402233,28.0,2
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,12,9:16:05,9:16:05,403986,16.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,13,9:18:44,9:18:44,405562,12.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,14,9:20:34,9:20:34,405353,9.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,15,9:22:28,9:22:28,405468,13.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,16,9:24:00,9:24:00,403076,13.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,17,9:25:20,9:25:20,403608,13.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,18,9:26:19,9:26:19,405086,2.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,19,9:27:37,9:27:37,400853,2.0,1
MQ_A5-Weekday-SDon-053500_M57_453,M57,d1,20,9:29:00,9:29:00,400854,2.0,1
MQ_A5-Weekday-090700_M57_458,M57,d1,1,15:07:00,15:07:00,402296,4.0,1
MQ_A5-Weekday-090700_M57_458,M57,d1,2,15:09:00,15:09:00,402298,8.0,1
MQ_A5-Weekday-090700_M57_458,M57,d1,3,15:11:05,15:11:05,402299,8.0,1
MQ_A5-Weekday-090700_M57_458,M57,d1,4,15:13:06,15:13:06,402300,12.0,1
MQ_A5-Weekday-090700_M57_458,M57,d1,5,15:14:29,15:14:29,402301,12.0,2
MQ_A5-Weekday-090700_M57_458,M57,d1,6,15:16:53,15:16:53,402303,28.0,2
MQ_A5-Weekday-090700_M57_458,M57,d1,7,15:19:00,15:19:00,400124,28.0,2
MQ_A5-Weekday-090700_M57_458,M57,d1,8,15:20:20,15:20:20,405491,28.0,2
MQ_A5-Weekday-090700_M57_458,M57,d1,9,15:21:52,15:21:52,404122,28.0,2
MQ_A5-Weekday-090700_M57_458,M57,d1,10,15:29:17,15:29:17,401245,19.0,2
MQ_A5-Weekday-090700_M57_458,M57,d1,11,15:31:05,15:31:05,403981,20.0,2
MQ_A5-Weekday-090700_M57_458,M57,d1,12,15:33:00,15:33:00,403610,20.0,2
MQ_A5-Weekday-090700_M57_458,M57,d1,13,15:35:12,15:35:12,403611,14.0,1
MQ_A5-Weekday-090700_M57_458,M57,d1,14,15:36:58,15:36:58,403612,6.0,1
MQ_A5-Weekday-090700_M57_458,M57,d1,15,15:38:00,15:38:00,400751,13.0,1
MQ_A5-Weekday-090700_M57_458,M57,d1,16,15:39:17,15:39:17,403036,6.0,1
