trip_id,arrival_time,stop_id,stop_sequence,Required_Pods,pod_id,label,Node_id
OF_A5-Weekday-040800_M125_509,6:48:00,902208,1,1,1,requester,30830
OF_A5-Weekday-040800_M125_509,6:54:32,101071,3,2,2,requester,30831
OF_A5-Weekday-040800_M125_509,7:14:23,402504,11,3,3,requester,30832
OF_A5-Weekday-040800_M125_509,7:23:00,402509,16,3,3,releaser,30832
OF_A5-Weekday-040800_M125_509,7:28:10,403763,19,2,2,releaser,30831
OF_A5-Weekday-040800_M125_509,7:30:00,403829,21,1,1,releaser,30830
OF_A5-Weekday-042200_M125_510,7:02:00,902208,1,1,1,requester,30872
OF_A5-Weekday-042200_M125_510,7:09:21,101071,3,2,2,requester,30873
OF_A5-Weekday-042200_M125_510,7:24:15,403766,7,3,3,requester,30874
OF_A5-Weekday-042200_M125_510,7:40:08,402508,15,3,3,releaser,30874
OF_A5-Weekday-042200_M125_510,7:47:10,403763,19,2,2,releaser,30873
OF_A5-Weekday-042200_M125_510,7:49:00,403829,21,1,1,releaser,30872
OF_A5-Weekday-043600_M125_512,7:16:00,902208,1,1,1,requester,30912
OF_A5-Weekday-043600_M125_512,7:42:10,403676,8,3,2,requester,30913
OF_A5-Weekday-043600_M125_512,7:42:10,403676,8,3,3,requester,30914
OF_A5-Weekday-043600_M125_512,8:03:00,403829,21,3,1,releaser,30912
OF_A5-Weekday-043600_M125_512,8:03:00,403829,21,3,2,releaser,30913
OF_A5-Weekday-043600_M125_512,8:03:00,403829,21,3,3,releaser,30914
OF_A5-Weekday-048200_M125_511,8:02:00,902208,1,1,1,requester,31089
OF_A5-Weekday-048200_M125_511,8:28:10,403676,8,2,2,requester,31090
OF_A5-Weekday-048200_M125_511,8:44:00,402509,16,2,2,releaser,31090
OF_A5-Weekday-048200_M125_511,8:51:00,403829,21,1,1,releaser,31089
OF_A5-Weekday-050600_M125_509,8:26:00,902208,1,2,1,requester,31182
OF_A5-Weekday-050600_M125_509,8:26:00,902208,1,2,2,requester,31183
OF_A5-Weekday-050600_M125_509,8:49:00,402502,9,3,3,requester,31184
OF_A5-Weekday-050600_M125_509,8:50:56,402503,10,4,4,requester,31185
