arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
11:59:00,11:59:00,405003,1,1
11:59:58,11:59:58,401916,2,1
12:02:26,12:02:26,404859,3,1
12:04:09,12:04:09,401919,4,1
12:06:14,12:06:14,401920,5,1
12:07:42,12:07:42,401921,6,1
12:09:17,12:09:17,401922,7,1
12:10:51,12:10:51,401924,8,1
12:12:00,12:12:00,401925,9,1
12:14:36,12:14:36,401926,10,1
12:17:40,12:17:40,401927,11,1
12:18:52,12:18:52,404308,12,1
12:20:04,12:20:04,401929,13,1
12:20:47,12:20:47,803166,14,1
12:22:00,12:22:00,403518,15,1
