arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
20:08:00,20:08:00,402221,1,1
20:09:30,20:09:30,402222,2,1
20:11:00,20:11:00,402223,3,1
20:12:20,20:12:20,402224,4,2
20:13:17,20:13:17,403617,5,2
20:15:00,20:15:00,803117,6,2
20:16:26,20:16:26,402228,7,2
20:18:43,20:18:43,402229,8,2
20:20:41,20:20:41,400744,9,2
20:22:00,20:22:00,400745,10,2
20:24:21,20:24:21,402233,11,2
20:26:18,20:26:18,403986,12,2
20:28:33,20:28:33,405562,13,2
20:30:06,20:30:06,405353,14,2
20:31:42,20:31:42,405468,15,1
20:33:00,20:33:00,403076,16,1
20:34:04,20:34:04,403608,17,1
20:34:51,20:34:51,405086,18,1
20:35:54,20:35:54,400853,19,1
20:37:00,20:37:00,400854,20,1
