arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
8:59:00,8:59:00,403249,1,1
9:00:30,9:00:30,403251,2,1
9:01:59,9:01:59,403252,3,1
9:03:22,9:03:22,403253,4,2
9:05:00,9:05:00,904041,5,2
9:06:40,9:06:40,403805,6,2
9:07:29,9:07:29,403257,7,2
9:09:47,9:09:47,403830,8,2
9:11:00,9:11:00,403354,9,3
9:12:13,9:12:13,403259,10,3
9:15:00,9:15:00,401851,11,3
9:16:15,9:16:15,401852,12,3
9:17:40,9:17:40,401853,13,2
9:18:45,9:18:45,403486,14,2
9:20:09,9:20:09,405118,15,1
9:21:00,9:21:00,903082,16,1
