arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
18:19:00,18:19:00,402296,1,1
18:21:00,18:21:00,402298,2,2
18:22:40,18:22:40,402299,3,2
18:24:17,18:24:17,402300,4,2
18:25:23,18:25:23,402301,5,2
18:27:18,18:27:18,402303,6,2
18:29:00,18:29:00,400124,7,3
18:30:09,18:30:09,405491,8,3
18:31:27,18:31:27,404122,9,2
18:37:49,18:37:49,401245,10,2
18:39:21,18:39:21,403981,11,2
18:41:00,18:41:00,403610,12,2
18:43:12,18:43:12,403611,13,2
18:44:58,18:44:58,403612,14,1
18:46:00,18:46:00,400751,15,1
18:47:17,18:47:17,403036,16,1
18:48:21,18:48:21,405071,17,1
18:50:02,18:50:02,405112,18,1
18:52:00,18:52:00,803056,19,1
