arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
8:03:00,8:03:00,401998,1,2
8:03:37,8:03:37,405315,2,2
8:04:00,8:04:00,401999,3,2
8:05:17,8:05:17,402000,4,2
8:07:34,8:07:34,402001,5,3
8:08:49,8:08:49,402002,6,3
8:10:08,8:10:08,402003,7,3
8:11:11,8:11:11,402004,8,2
8:13:00,8:13:00,402005,9,2
8:13:52,8:13:52,402006,10,2
8:17:00,8:17:00,404274,11,1
8:18:48,8:18:48,401078,12,1
8:20:00,8:20:00,401079,13,1
8:21:48,8:21:48,400482,14,1
8:22:52,8:22:52,400483,15,1
8:24:46,8:24:46,400484,16,1
8:26:20,8:26:20,403392,17,1
8:27:39,8:27:39,401084,18,1
8:28:46,8:28:46,401085,19,1
8:30:00,8:30:00,402016,20,1
8:30:41,8:30:41,402017,21,1
8:31:00,8:31:00,401977,22,1
