arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
15:12:00,15:12:00,403846,1,1
15:13:49,15:13:49,404871,2,2
15:15:24,15:15:24,404049,3,2
15:17:00,15:17:00,405588,4,2
15:18:51,15:18:51,403981,5,2
15:20:52,15:20:52,401248,6,2
15:22:51,15:22:51,404024,7,2
15:24:10,15:24:10,401250,8,2
15:25:29,15:25:29,404134,9,2
15:26:33,15:26:33,401252,10,2
15:28:22,15:28:22,401253,11,2
15:30:00,15:30:00,401254,12,2
15:31:14,15:31:14,401255,13,2
15:32:29,15:32:29,401256,14,2
15:33:48,15:33:48,401257,15,3
15:35:03,15:35:03,401258,16,3
15:36:46,15:36:46,401259,17,2
15:39:10,15:39:10,401261,18,2
15:40:27,15:40:27,401262,19,2
15:41:47,15:41:47,401263,20,2
15:43:05,15:43:05,401264,21,3
15:44:31,15:44:31,401265,22,3
15:46:35,15:46:35,401267,23,3
15:47:56,15:47:56,401268,24,3
15:50:00,15:50:00,401269,25,3
15:52:02,15:52:02,401270,26,3
15:53:23,15:53:23,401271,27,3
15:55:26,15:55:26,401272,28,4
15:57:00,15:57:00,405182,29,4
15:58:14,15:58:14,401274,30,4
15:59:14,15:59:14,401275,31,3
16:00:18,16:00:18,401276,32,3
16:01:25,16:01:25,401277,33,4
16:02:34,16:02:34,403982,34,5
16:04:11,16:04:11,403832,35,5
16:05:49,16:05:49,401281,36,3
16:06:52,16:06:52,401282,37,4
16:08:02,16:08:02,403826,38,4
16:09:36,16:09:36,404825,39,3
16:10:21,16:10:21,404325,40,3
16:12:21,16:12:21,401286,41,3
16:13:21,16:13:21,401287,42,3
16:15:00,16:15:00,401288,43,3
