arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
12:13:00,12:13:00,401732,1,1
12:13:47,12:13:47,401738,2,2
12:17:27,12:17:27,405348,3,2
12:21:11,12:21:11,405653,4,2
12:24:00,12:24:00,803182,5,3
12:28:58,12:28:58,903129,6,3
12:33:06,12:33:06,401756,7,3
12:38:46,12:38:46,401761,8,3
12:44:29,12:44:29,401765,9,3
12:48:03,12:48:03,401768,10,3
12:52:13,12:52:13,401771,11,3
12:56:32,12:56:32,405342,12,3
12:59:12,12:59:12,403525,13,3
13:02:00,13:02:00,401779,14,3
13:06:41,13:06:41,405340,15,3
13:13:35,13:13:35,803109,16,3
13:15:00,13:15:00,403849,17,3
13:18:34,13:18:34,405373,18,3
13:22:49,13:22:49,402112,19,3
13:26:40,13:26:40,403590,20,2
13:28:45,13:28:45,403754,21,2
13:32:00,13:32:00,803120,22,2
