arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
11:09:00,11:09:00,405527,1,1
11:11:37,11:11:37,400003,2,1
11:13:22,11:13:22,404120,3,1
11:14:50,11:14:50,404936,4,1
11:17:20,11:17:20,400007,5,1
11:19:04,11:19:04,403782,6,1
11:20:17,11:20:17,403316,7,1
11:24:00,11:24:00,405380,8,1
11:25:29,11:25:29,400352,9,2
11:28:40,11:28:40,400190,10,2
11:30:22,11:30:22,400191,11,2
11:32:53,11:32:53,403458,12,2
11:34:24,11:34:24,400018,13,2
11:36:31,11:36:31,400019,14,2
11:39:23,11:39:23,400021,15,1
11:41:30,11:41:30,400022,16,1
11:43:38,11:43:38,400023,17,2
11:45:00,11:45:00,400024,18,2
11:47:06,11:47:06,403837,19,2
11:48:52,11:48:52,405490,20,2
11:50:19,11:50:19,404994,21,2
11:51:19,11:51:19,400028,22,2
11:52:40,11:52:40,404905,23,2
11:54:44,11:54:44,400030,24,2
11:56:05,11:56:05,400031,25,2
11:58:02,11:58:02,400032,26,2
11:59:23,11:59:23,400033,27,2
12:01:37,12:01:37,400034,28,2
12:04:03,12:04:03,400036,29,1
12:05:37,12:05:37,400037,30,1
12:07:22,12:07:22,400038,31,1
12:08:41,12:08:41,400039,32,1
12:10:00,12:10:00,404191,33,1
12:11:14,12:11:14,400041,34,1
12:12:48,12:12:48,400042,35,1
12:13:40,12:13:40,400043,36,1
12:14:19,12:14:19,400044,37,1
12:15:23,12:15:23,400045,38,1
12:16:18,12:16:18,400046,39,1
12:17:20,12:17:20,400047,40,2
12:18:11,12:18:11,400048,41,2
12:19:42,12:19:42,405542,42,2
12:21:00,12:21:00,405543,43,2
12:22:00,12:22:00,400051,44,2
12:23:33,12:23:33,403980,45,2
12:24:33,12:24:33,400053,46,2
12:25:33,12:25:33,400054,47,1
12:26:32,12:26:32,400055,48,1
12:27:32,12:27:32,400056,49,1
12:29:03,12:29:03,400057,50,1
12:30:33,12:30:33,403711,51,1
12:31:32,12:31:32,400059,52,1
12:32:36,12:32:36,400060,53,1
12:33:35,12:33:35,400061,54,1
12:35:23,12:35:23,400062,55,1
12:36:51,12:36:51,404335,56,1
12:38:21,12:38:21,400065,57,1
12:39:28,12:39:28,400066,58,1
12:40:45,12:40:45,400067,59,1
12:43:00,12:43:00,803003,60,1
