arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
15:57:00,15:57:00,401732,1,1
15:57:52,15:57:52,401738,2,2
16:01:51,16:01:51,405348,3,2
16:05:55,16:05:55,405653,4,2
16:09:00,16:09:00,803182,5,3
16:13:34,16:13:34,903129,6,3
16:17:23,16:17:23,401756,7,3
16:22:36,16:22:36,401761,8,3
16:27:52,16:27:52,401765,9,3
16:31:09,16:31:09,401768,10,3
16:35:01,16:35:01,401771,11,3
16:38:59,16:38:59,405342,12,3
16:41:26,16:41:26,403525,13,3
16:44:01,16:44:01,401779,14,3
16:48:20,16:48:20,405340,15,3
16:54:42,16:54:42,803109,16,2
16:56:00,16:56:00,403849,17,2
16:59:22,16:59:22,405373,18,2
17:03:22,17:03:22,402112,19,2
17:06:59,17:06:59,403590,20,2
17:08:57,17:08:57,403754,21,1
17:12:00,17:12:00,803120,22,1
