arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
16:56:00,16:56:00,401732,1,4
16:57:23,16:57:23,401738,2,4
16:59:15,16:59:15,401739,3,4
17:01:06,17:01:06,401740,4,4
17:03:00,17:03:00,401741,5,4
17:04:40,17:04:40,401742,6,4
17:05:43,17:05:43,803228,7,4
17:07:25,17:07:25,401744,8,4
17:08:35,17:08:35,401745,9,4
17:10:08,17:10:08,401746,10,4
17:11:11,17:11:11,401747,11,4
17:13:10,17:13:10,401748,12,4
17:14:00,17:14:00,401749,13,4
17:15:25,17:15:25,403342,14,4
17:16:34,17:16:34,405233,15,4
17:18:23,17:18:23,405307,16,4
17:19:37,17:19:37,401753,17,4
17:21:41,17:21:41,401754,18,4
17:22:54,17:22:54,401755,19,4
17:25:00,17:25:00,401756,20,4
17:27:43,17:27:43,401758,21,4
17:30:27,17:30:27,401759,22,4
17:32:16,17:32:16,401760,23,4
17:34:00,17:34:00,401761,24,4
17:35:24,17:35:24,401762,25,4
17:36:40,17:36:40,401763,26,4
17:38:43,17:38:43,401764,27,2
17:41:24,17:41:24,401765,28,2
17:43:20,17:43:20,403887,29,2
17:46:00,17:46:00,401768,30,2
17:47:48,17:47:48,401769,31,2
17:50:17,17:50:17,401771,32,2
17:51:50,17:51:50,401772,33,2
17:53:03,17:53:03,404909,34,2
17:55:00,17:55:00,903266,35,2
17:55:58,17:55:58,401775,36,2
17:57:10,17:57:10,405336,37,2
17:58:54,17:58:54,401778,38,2
18:00:01,18:00:01,401779,39,2
18:01:25,18:01:25,401780,40,2
18:02:48,18:02:48,401781,41,2
18:04:00,18:04:00,401782,42,2
18:05:53,18:05:53,404105,43,2
18:07:58,18:07:58,401784,44,2
18:09:52,18:09:52,401785,45,2
18:11:52,18:11:52,401786,46,2
18:14:15,18:14:15,401787,47,2
18:16:00,18:16:00,403849,48,2
18:17:54,18:17:54,403647,49,2
18:19:47,18:19:47,405373,50,1
18:20:43,18:20:43,401793,51,1
18:22:00,18:22:00,404844,52,1
18:24:00,18:24:00,904920,53,1
