arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
18:05:00,18:05:00,903147,1,1
18:05:50,18:05:50,405155,2,1
18:06:59,18:06:59,403526,3,1
18:08:46,18:08:46,403913,4,1
18:10:23,18:10:23,402670,5,1
18:12:05,18:12:05,405061,6,1
18:14:00,18:14:00,403855,7,1
18:15:41,18:15:41,402673,8,1
18:17:44,18:17:44,402674,9,1
18:18:39,18:18:39,402634,10,2
18:20:20,18:20:20,403427,11,2
18:23:30,18:23:30,402677,12,2
18:24:50,18:24:50,402678,13,2
18:27:00,18:27:00,402679,14,2
18:28:39,18:28:39,402680,15,1
18:30:56,18:30:56,402681,16,1
18:32:31,18:32:31,402682,17,1
18:35:21,18:35:21,405488,18,1
18:38:19,18:38:19,405480,19,1
18:41:21,18:41:21,403545,20,1
18:43:20,18:43:20,450051,21,1
18:45:09,18:45:09,402687,22,1
18:47:00,18:47:00,402688,23,1
18:48:06,18:48:06,402689,24,1
18:50:12,18:50:12,403432,25,1
18:52:06,18:52:06,402691,26,1
18:53:34,18:53:34,402692,27,1
18:55:04,18:55:04,403433,28,1
18:57:10,18:57:10,402694,29,1
18:59:12,18:59:12,403434,30,1
19:01:21,19:01:21,402696,31,1
19:03:15,19:03:15,402697,32,1
19:04:36,19:04:36,403765,33,1
19:07:00,19:07:00,403777,34,1
19:09:00,19:09:00,401946,35,1
19:10:06,19:10:06,401947,36,1
19:11:08,19:11:08,401948,37,1
19:12:14,19:12:14,403436,38,1
19:13:45,19:13:45,402704,39,1
19:15:24,19:15:24,402705,40,1
19:17:24,19:17:24,405135,41,1
19:18:03,19:18:03,402003,42,1
19:18:53,19:18:53,402004,43,1
19:20:20,19:20:20,402005,44,1
19:20:59,19:20:59,402006,45,1
19:23:22,19:23:22,404341,46,1
19:24:52,19:24:52,401047,47,1
19:26:24,19:26:24,404333,48,1
19:28:00,19:28:00,404334,49,1
19:28:52,19:28:52,401051,50,1
19:29:41,19:29:41,401052,51,1
19:30:54,19:30:54,405014,52,1
19:31:49,19:31:49,401055,53,1
19:33:00,19:33:00,401056,54,1
19:33:47,19:33:47,400062,55,1
19:34:59,19:34:59,404335,56,1
19:36:13,19:36:13,400065,57,1
19:37:07,19:37:07,400066,58,1
19:38:11,19:38:11,400067,59,1
19:40:00,19:40:00,803024,60,1
