instance_number,instance_file,scope,direction,routes,num_routes,num_trips,num_graph_records,num_stops
1,instance_001.csv,route,direction_0,M35,1,55,208,41
2,instance_002.csv,route,direction_1,M35,1,59,206,35
3,instance_003.csv,route,both_directions,M35,1,114,414,76
4,instance_004.csv,route,direction_0,M12,1,63,230,20
5,instance_005.csv,route,direction_1,M12,1,63,254,19
6,instance_006.csv,route,both_directions,M12,1,126,484,39
7,instance_007.csv,route,direction_0,M8,1,84,282,57
8,instance_008.csv,route,direction_1,M8,1,86,306,59
9,instance_009.csv,route,both_directions,M8,1,170,588,116
10,instance_010.csv,route,direction_0,SBS60,1,79,498,19
11,instance_011.csv,route,direction_1,SBS60,1,83,376,16
12,instance_012.csv,route,both_directions,SBS60,1,162,874,35
13,instance_013.csv,route,direction_0,M98,1,87,384,52
14,instance_014.csv,route,direction_1,M98,1,80,346,45
15,instance_015.csv,route,both_directions,M98,1,167,730,97
16,instance_016.csv,route,direction_0,M20,1,90,280,33
17,instance_017.csv,route,direction_1,M20,1,82,236,30
18,instance_018.csv,route,both_directions,M20,1,172,516,63
19,instance_019.csv,route,direction_0,M21,1,87,292,46
20,instance_020.csv,route,direction_1,M21,1,85,362,55
21,instance_021.csv,route,both_directions,M21,1,172,654,101
22,instance_022.csv,route,direction_0,M55,1,118,472,29
23,instance_023.csv,route,direction_1,M55,1,117,432,35
24,instance_024.csv,route,both_directions,M55,1,235,904,64
25,instance_025.csv,route,direction_0,M50,1,122,426,16
26,instance_026.csv,route,direction_1,M50,1,122,382,14
27,instance_027.csv,route,both_directions,M50,1,244,808,30
28,instance_028.csv,route,direction_0,M22,1,120,414,51
29,instance_029.csv,route,direction_1,M22,1,127,454,79
30,instance_030.csv,route,both_directions,M22,1,247,868,130
31,instance_031.csv,route,direction_0,M15,1,129,774,57
32,instance_032.csv,route,direction_1,M15,1,124,746,55
33,instance_033.csv,route,both_directions,M15,1,253,1520,112
34,instance_034.csv,route,direction_0,M57,1,141,756,39
35,instance_035.csv,route,direction_1,M57,1,144,790,36
36,instance_036.csv,route,both_directions,M57,1,285,1546,73
37,instance_037.csv,route,direction_0,M9,1,158,562,50
38,instance_038.csv,route,direction_1,M9,1,156,676,56
39,instance_039.csv,route,both_directions,M9,1,314,1238,106
40,instance_040.csv,route,direction_0,M125,1,155,852,19
41,instance_041.csv,route,direction_1,M125,1,165,852,20
42,instance_042.csv,route,both_directions,M125,1,320,1704,39
43,instance_043.csv,route,direction_0,M104,1,174,938,93
44,instance_044.csv,route,direction_1,M104,1,154,766,91
45,instance_045.csv,route,both_directions,M104,1,328,1704,184
46,instance_046.csv,route,direction_0,M10,1,158,818,66
47,instance_047.csv,route,direction_1,M10,1,174,882,64
48,instance_048.csv,route,both_directions,M10,1,332,1700,130
49,instance_049.csv,route,direction_0,M72,1,172,818,38
50,instance_050.csv,route,direction_1,M72,1,182,872,37
51,instance_051.csv,route,both_directions,M72,1,354,1690,72
52,instance_052.csv,route,direction_0,M1,1,186,1204,111
53,instance_053.csv,route,direction_1,M1,1,186,1178,102
54,instance_054.csv,route,both_directions,M1,1,372,2382,213
55,instance_055.csv,route,direction_0,M2,1,190,1618,111
56,instance_056.csv,route,direction_1,M2,1,184,1194,102
57,instance_057.csv,route,both_directions,M2,1,374,2812,213
58,instance_058.csv,route,direction_0,M116,1,199,972,62
59,instance_059.csv,route,direction_1,M116,1,185,984,53
60,instance_060.csv,route,both_directions,M116,1,384,1956,115
61,instance_061.csv,route,direction_0,M3,1,185,1660,114
62,instance_062.csv,route,direction_1,M3,1,206,1626,105
63,instance_063.csv,route,both_directions,M3,1,391,3286,219
64,instance_064.csv,route,direction_0,M11,1,189,1344,96
65,instance_065.csv,route,direction_1,M11,1,210,1350,93
66,instance_066.csv,route,both_directions,M11,1,399,2694,189
67,instance_067.csv,route,direction_0,M7,1,200,1428,110
68,instance_068.csv,route,direction_1,M7,1,200,1248,113
69,instance_069.csv,route,both_directions,M7,1,400,2676,223
70,instance_070.csv,route,direction_0,M31,1,201,1088,29
71,instance_071.csv,route,direction_1,M31,1,201,1116,26
72,instance_072.csv,route,both_directions,M31,1,402,2204,55
73,instance_073.csv,route,direction_0,M5,1,194,1464,121
74,instance_074.csv,route,direction_1,M5,1,216,1486,119
75,instance_075.csv,route,both_directions,M5,1,410,2950,240
76,instance_076.csv,route,direction_0,M4,1,237,2044,119
77,instance_077.csv,route,direction_1,M4,1,234,1630,105
78,instance_078.csv,route,both_directions,M4,1,471,3674,224
79,instance_079.csv,route,direction_0,SBS23,1,260,1418,14
80,instance_080.csv,route,direction_1,SBS23,1,261,1486,15
81,instance_081.csv,route,both_directions,SBS23,1,521,2904,29
82,instance_082.csv,route,direction_0,M66,1,273,1248,13
83,instance_083.csv,route,direction_1,M66,1,273,1228,11
84,instance_084.csv,route,both_directions,M66,1,546,2476,24
85,instance_085.csv,route,direction_0,M42,1,278,1492,15
86,instance_086.csv,route,direction_1,M42,1,283,1628,16
87,instance_087.csv,route,both_directions,M42,1,561,3120,31
88,instance_088.csv,route,direction_0,SBS34,1,305,1744,19
89,instance_089.csv,route,direction_1,SBS34,1,301,1742,18
90,instance_090.csv,route,both_directions,SBS34,1,606,3486,37
91,instance_091.csv,route,direction_0,SB79,1,309,1410,13
92,instance_092.csv,route,direction_1,SB79,1,312,1554,13
93,instance_093.csv,route,both_directions,SB79,1,621,2964,26
94,instance_094.csv,route,direction_0,SBS15,1,339,2844,20
95,instance_095.csv,route,direction_1,SBS15,1,339,2558,21
96,instance_096.csv,route,both_directions,SBS15,1,678,5402,41
97,instance_097.csv,route,direction_0,SBS86,1,338,1864,14
98,instance_098.csv,route,direction_1,SBS86,1,355,1864,15
99,instance_099.csv,route,both_directions,SBS86,1,693,3728,29
100,instance_100.csv,route,direction_0,M101,1,377,2276,107
101,instance_101.csv,route,direction_1,M101,1,379,1828,100
102,instance_102.csv,route,both_directions,M101,1,756,4104,207
103,instance_103.csv,route,direction_0,M96,1,489,2192,20
104,instance_104.csv,route,direction_1,M96,1,490,2204,23
105,instance_105.csv,route,both_directions,M96,1,979,4396,43
106,instance_106.csv,route,direction_0,SBS14,1,583,3296,32
107,instance_107.csv,route,direction_1,SBS14,1,571,3330,32
108,instance_108.csv,route,both_directions,SBS14,1,1154,6626,64
109,instance_109.csv,cumulative,both_directions,M4;M5,2,881,6624,242
110,instance_110.csv,cumulative,both_directions,M4;M5;M7,3,1281,9300,399
111,instance_111.csv,cumulative,both_directions,M3;M4;M5;M7,4,1672,12586,521
112,instance_112.csv,cumulative,both_directions,M2;M3;M4;M5;M7,5,2046,15398,523
113,instance_113.csv,cumulative,both_directions,M1;M2;M3;M4;M5;M7,6,2418,17780,528
114,instance_114.csv,cumulative,both_directions,M1;M101;M2;M3;M4;M5;M7,7,3174,21884,706
115,instance_115.csv,cumulative,both_directions,M1;M101;M11;M2;M3;M4;M5;M7,8,3573,24578,831
116,instance_116.csv,cumulative,both_directions,M1;M101;M104;M11;M2;M3;M4;M5;M7,9,3901,26282,834
117,instance_117.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M2;M3;M4;M5;M7,10,4233,27982,935
118,instance_118.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M2;M22;M3;M4;M5;M7,11,4480,28850,1050
119,instance_119.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M2;M22;M3;M4;M5;M7;M8,12,4650,29438,1082
120,instance_120.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M2;M22;M3;M4;M5;M7;M8,13,5034,31394,1087
121,instance_121.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M22;M3;M4;M5;M7;M8,14,5287,32914,1192
122,instance_122.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M22;M3;M4;M5;M7;M8;M9,15,5601,34152,1196
123,instance_123.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M21;M22;M3;M4;M5;M7;M8;M9,16,5773,34806,1202
124,instance_124.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M21;M22;M3;M4;M5;M7;M8;M9;M98,17,5940,35536,1205
125,instance_125.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M21;M22;M3;M35;M4;M5;M7;M8;M9;M98,18,6054,35950,1224
126,instance_126.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M21;M22;M3;M35;M4;M5;M57;M7;M8;M9;M98,19,6339,37496,1289
127,instance_127.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M21;M22;M3;M35;M4;M5;M57;M7;M72;M8;M9;M98,20,6693,39186,1289
128,instance_128.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M21;M22;M3;M35;M4;M5;M57;M7;M72;M8;M9;M98;SBS14,21,7847,45812,1337
129,instance_129.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M21;M22;M3;M35;M4;M5;M55;M57;M7;M72;M8;M9;M98;SBS14,22,8082,46716,1375
130,instance_130.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M20;M21;M22;M3;M35;M4;M5;M55;M57;M7;M72;M8;M9;M98;SBS14,23,8254,47232,1410
131,instance_131.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M15;M2;M20;M21;M22;M3;M31;M35;M4;M5;M55;M57;M7;M72;M8;M9;M96;M98;SBS14;SBS15,26,10313,59234,1494
132,instance_132.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M12;M125;M15;M2;M20;M21;M22;M3;M31;M35;M4;M5;M55;M57;M7;M72;M8;M9;M96;M98;SBS14;SBS15;SBS34,29,11365,64908,1571
133,instance_133.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M12;M125;M15;M2;M20;M21;M22;M3;M31;M35;M4;M42;M5;M50;M55;M57;M7;M72;M8;M9;M96;M98;SBS14;SBS15;SBS34;SBS60,32,12332,69710,1658
134,instance_134.csv,cumulative,both_directions,M1;M10;M101;M104;M11;M116;M12;M125;M15;M2;M20;M21;M22;M3;M31;M35;M4;M42;M5;M50;M55;M57;M66;M7;M72;M8;M9;M96;M98;SB79;SBS14;SBS15;SBS23;SBS34;SBS60;SBS86,36,14713,81782,1752
