trip_id,arrival_time,stop_id,stop_sequence,Required_Pods,pod_id,label,Node_id
MQ_A5-Weekday-026700_SBS60_905,4:27:00,503848,1,1,1,requester,56
MQ_A5-Weekday-026700_SBS60_905,5:05:00,402018,17,1,1,releaser,56
MQ_A5-Weekday-036000_SBS60_910,6:00:00,503848,1,1,1,requester,195
MQ_A5-Weekday-036000_SBS60_910,6:10:43,503855,4,2,2,requester,196
MQ_A5-Weekday-036000_SBS60_910,6:16:03,503870,6,3,3,requester,197
MQ_A5-Weekday-036000_SBS60_910,6:36:01,405419,9,3,3,releaser,197
MQ_A5-Weekday-036000_SBS60_910,6:38:42,405415,11,2,2,releaser,196
MQ_A5-Weekday-036000_SBS60_910,6:49:00,402018,17,1,1,releaser,195
MQ_A5-Weekday-037000_SBS60_905,6:10:00,503848,1,1,1,requester,217
MQ_A5-Weekday-037000_SBS60_905,6:21:52,504517,5,2,2,requester,218
MQ_A5-Weekday-037000_SBS60_905,6:50:34,405426,12,2,2,releaser,218
MQ_A5-Weekday-037000_SBS60_905,6:59:00,402018,17,1,1,releaser,217
MQ_A5-Weekday-040300_SBS60_912,6:43:00,503848,1,1,1,requester,356
MQ_A5-Weekday-040300_SBS60_912,7:42:00,402018,17,1,1,releaser,356
MQ_A5-Weekday-048500_SBS60_910,8:05:00,503848,1,1,1,requester,1039
MQ_A5-Weekday-048500_SBS60_910,9:11:00,402018,17,1,1,releaser,1039
MQ_A5-Weekday-049500_SBS60_915,8:15:00,503848,1,1,1,requester,1151
MQ_A5-Weekday-049500_SBS60_915,8:32:09,504517,5,2,2,requester,1152
MQ_A5-Weekday-049500_SBS60_915,9:21:00,402018,17,2,1,releaser,1151
MQ_A5-Weekday-049500_SBS60_915,9:21:00,402018,17,2,2,releaser,1152
MQ_A5-Weekday-053300_SBS60_912,8:53:00,503848,1,1,1,requester,1584
MQ_A5-Weekday-053300_SBS60_912,9:56:00,402018,17,1,1,releaser,1584
MQ_A5-Weekday-062100_SBS60_908,10:21:00,503848,1,1,1,requester,2179
MQ_A5-Weekday-062100_SBS60_908,10:23:32,904242,2,3,2,requester,2180
MQ_A5-Weekday-062100_SBS60_908,10:23:32,904242,2,3,3,requester,2181
MQ_A5-Weekday-062100_SBS60_908,10:38:50,503870,6,3,3,releaser,2181
MQ_A5-Weekday-062100_SBS60_908,11:18:00,402018,17,2,1,releaser,2179
MQ_A5-Weekday-062100_SBS60_908,11:18:00,402018,17,2,2,releaser,2180
MQ_A5-Weekday-064100_SBS60_909,10:41:00,503848,1,1,1,requester,2322
MQ_A5-Weekday-064100_SBS60_909,11:38:00,402018,17,1,1,releaser,2322
MQ_A5-Weekday-067100_SBS60_910,11:11:00,503848,1,1,1,requester,2517
MQ_A5-Weekday-067100_SBS60_910,12:08:00,402018,17,1,1,releaser,2517
MQ_A5-Weekday-075100_SBS60_915,12:31:00,503848,1,1,1,requester,2990
MQ_A5-Weekday-075100_SBS60_915,12:48:50,503870,6,2,2,requester,2991
MQ_A5-Weekday-075100_SBS60_915,13:12:31,405419,9,2,2,releaser,2991
MQ_A5-Weekday-075100_SBS60_915,13:28:00,402018,17,1,1,releaser,2990
MQ_A5-Weekday-077100_SBS60_913,12:51:00,503848,1,1,1,requester,3141
MQ_A5-Weekday-077100_SBS60_913,13:48:00,402018,17,1,1,releaser,3141
MQ_A5-Weekday-080100_SBS60_925,13:21:00,503848,1,2,1,requester,3354
MQ_A5-Weekday-080100_SBS60_925,13:21:00,503848,1,2,2,requester,3355
MQ_A5-Weekday-080100_SBS60_925,13:23:32,904242,2,2,2,releaser,3355
MQ_A5-Weekday-080100_SBS60_925,14:20:00,402018,17,1,1,releaser,3354
MQ_A5-Weekday-085100_SBS60_922,14:11:00,503848,1,2,1,requester,3726
MQ_A5-Weekday-085100_SBS60_922,14:11:00,503848,1,2,2,requester,3727
MQ_A5-Weekday-085100_SBS60_922,14:58:03,405415,11,2,2,releaser,3727
MQ_A5-Weekday-085100_SBS60_922,15:11:00,402018,17,1,1,releaser,3726
MQ_A5-Weekday-088500_SBS60_915,14:45:00,503848,1,3,1,requester,3974
MQ_A5-Weekday-088500_SBS60_915,14:45:00,503848,1,3,2,requester,3975
MQ_A5-Weekday-088500_SBS60_915,14:45:00,503848,1,3,3,requester,3976
MQ_A5-Weekday-088500_SBS60_915,15:34:03,405415,11,3,3,releaser,3976
MQ_A5-Weekday-088500_SBS60_915,15:36:35,405426,12,2,2,releaser,3975
MQ_A5-Weekday-088500_SBS60_915,15:48:00,402018,17,1,1,releaser,3974
MQ_A5-Weekday-090600_SBS60_913,15:06:00,503848,1,1,1,requester,4128
MQ_A5-Weekday-090600_SBS60_913,16:10:00,402018,17,1,1,releaser,4128
MQ_A5-Weekday-095000_SBS60_923,15:50:00,503848,1,1,1,requester,4586
MQ_A5-Weekday-095000_SBS60_923,16:09:37,503870,6,2,2,requester,4587
MQ_A5-Weekday-095000_SBS60_923,16:38:03,405414,8,2,2,releaser,4587
MQ_A5-Weekday-095000_SBS60_923,17:00:00,402018,17,1,1,releaser,4586
MQ_A5-Weekday-099800_SBS60_922,16:38:00,503848,1,2,1,requester,5109
MQ_A5-Weekday-099800_SBS60_922,16:38:00,503848,1,2,2,requester,5110
MQ_A5-Weekday-099800_SBS60_922,16:51:11,504517,5,3,3,requester,5111
MQ_A5-Weekday-099800_SBS60_922,17:30:04,405415,11,3,2,releaser,5110
MQ_A5-Weekday-099800_SBS60_922,17:30:04,405415,11,3,3,releaser,5111
MQ_A5-Weekday-099800_SBS60_922,17:46:00,402018,17,1,1,releaser,5109
MQ_A5-Weekday-101500_SBS60_928,16:55:00,503848,1,2,1,requester,5266
MQ_A5-Weekday-101500_SBS60_928,16:55:00,503848,1,2,2,requester,5267
MQ_A5-Weekday-101500_SBS60_928,17:08:11,504517,5,3,3,requester,5268
MQ_A5-Weekday-101500_SBS60_928,17:35:37,405414,8,5,4,requester,5269
MQ_A5-Weekday-101500_SBS60_928,17:35:37,405414,8,5,5,requester,5270
MQ_A5-Weekday-101500_SBS60_928,17:45:07,405425,13,5,2,releaser,5267
MQ_A5-Weekday-101500_SBS60_928,17:45:07,405425,13,5,3,releaser,5268
MQ_A5-Weekday-101500_SBS60_928,17:45:07,405425,13,5,4,releaser,5269
MQ_A5-Weekday-101500_SBS60_928,17:45:07,405425,13,5,5,releaser,5270
MQ_A5-Weekday-101500_SBS60_928,17:53:00,402018,17,1,1,releaser,5266
MQ_A5-Weekday-103000_SBS60_929,17:10:00,503848,1,2,1,requester,5412
MQ_A5-Weekday-103000_SBS60_929,17:10:00,503848,1,2,2,requester,5413
MQ_A5-Weekday-103000_SBS60_929,17:52:47,405473,10,3,3,requester,5414
MQ_A5-Weekday-103000_SBS60_929,18:08:00,402018,17,3,1,releaser,5412
MQ_A5-Weekday-103000_SBS60_929,18:08:00,402018,17,3,2,releaser,5413
MQ_A5-Weekday-103000_SBS60_929,18:08:00,402018,17,3,3,releaser,5414
MQ_A5-Weekday-104600_SBS60_930,17:26:00,503848,1,1,1,requester,5578
MQ_A5-Weekday-104600_SBS60_930,18:06:37,405414,8,2,2,requester,5579
MQ_A5-Weekday-104600_SBS60_930,18:11:23,405415,11,2,2,releaser,5579
MQ_A5-Weekday-104600_SBS60_930,18:24:00,402018,17,1,1,releaser,5578
MQ_A5-Weekday-105400_SBS60_938,17:34:00,503848,1,2,1,requester,5670
MQ_A5-Weekday-105400_SBS60_938,17:34:00,503848,1,2,2,requester,5671
MQ_A5-Weekday-105400_SBS60_938,17:43:24,503853,3,4,3,requester,5672
MQ_A5-Weekday-105400_SBS60_938,17:43:24,503853,3,4,4,requester,5673
MQ_A5-Weekday-105400_SBS60_938,18:16:47,405473,10,4,4,releaser,5673
MQ_A5-Weekday-105400_SBS60_938,18:19:23,405415,11,3,3,releaser,5672
MQ_A5-Weekday-105400_SBS60_938,18:25:53,803161,14,2,2,releaser,5671
MQ_A5-Weekday-105400_SBS60_938,18:32:00,402018,17,1,1,releaser,5670
MQ_A5-Weekday-108900_SBS60_937,18:09:00,503848,1,2,1,requester,6033
MQ_A5-Weekday-108900_SBS60_937,18:09:00,503848,1,2,2,requester,6034
MQ_A5-Weekday-108900_SBS60_937,18:49:37,405414,8,3,3,requester,6035
MQ_A5-Weekday-108900_SBS60_937,18:51:47,405473,10,3,3,releaser,6035
MQ_A5-Weekday-108900_SBS60_937,18:56:40,405426,12,2,2,releaser,6034
MQ_A5-Weekday-108900_SBS60_937,19:07:00,402018,17,1,1,releaser,6033
MQ_A5-Weekday-109800_SBS60_923,18:18:00,503848,1,1,1,requester,6129
MQ_A5-Weekday-109800_SBS60_923,18:59:31,405419,9,2,2,requester,6130
MQ_A5-Weekday-109800_SBS60_923,19:04:56,405426,12,2,2,releaser,6130
MQ_A5-Weekday-109800_SBS60_923,19:15:00,402018,17,1,1,releaser,6129
MQ_A5-Weekday-114000_SBS60_933,19:00:00,503848,1,1,1,requester,6500
MQ_A5-Weekday-114000_SBS60_933,19:02:17,904242,2,2,2,requester,6501
MQ_A5-Weekday-114000_SBS60_933,19:16:03,503870,6,3,3,requester,6502
MQ_A5-Weekday-114000_SBS60_933,19:18:00,504007,7,3,3,releaser,6502
MQ_A5-Weekday-114000_SBS60_933,19:35:54,405414,8,2,2,releaser,6501
MQ_A5-Weekday-114000_SBS60_933,19:51:00,402018,17,1,1,releaser,6500
MQ_A5-Weekday-116400_SBS60_927,19:24:00,503848,1,1,1,requester,6660
MQ_A5-Weekday-116400_SBS60_927,19:35:52,504517,5,2,2,requester,6661
MQ_A5-Weekday-116400_SBS60_927,19:59:54,405414,8,2,2,releaser,6661
MQ_A5-Weekday-116400_SBS60_927,20:01:47,405473,10,2,2,requester,6662
MQ_A5-Weekday-116400_SBS60_927,20:04:02,405415,11,2,2,releaser,6662
MQ_A5-Weekday-116400_SBS60_927,20:15:00,402018,17,1,1,releaser,6660
MQ_A5-Weekday-118100_SBS60_938,19:41:00,503848,1,1,1,requester,6776
MQ_A5-Weekday-118100_SBS60_938,19:57:03,503870,6,2,2,requester,6777
MQ_A5-Weekday-118100_SBS60_938,20:23:01,405426,12,2,2,releaser,6777
MQ_A5-Weekday-118100_SBS60_938,20:32:00,402018,17,1,1,releaser,6776
MQ_A5-Weekday-126300_SBS60_933,21:03:00,503848,1,2,1,requester,7188
MQ_A5-Weekday-126300_SBS60_933,21:03:00,503848,1,2,2,requester,7189
MQ_A5-Weekday-126300_SBS60_933,21:05:17,904242,2,3,3,requester,7190
MQ_A5-Weekday-126300_SBS60_933,21:14:52,504517,5,4,4,requester,7191
MQ_A5-Weekday-126300_SBS60_933,21:21:00,504007,7,4,4,releaser,7191
MQ_A5-Weekday-126300_SBS60_933,21:45:01,405426,12,3,2,releaser,7189
MQ_A5-Weekday-126300_SBS60_933,21:45:01,405426,12,3,3,releaser,7190
MQ_A5-Weekday-126300_SBS60_933,21:54:00,402018,17,1,1,releaser,7188
MQ_A5-Weekday-128700_SBS60_935,21:27:00,503848,1,1,1,requester,7289
MQ_A5-Weekday-128700_SBS60_935,22:18:00,402018,17,1,1,releaser,7289
MQ_A5-Weekday-138300_SBS60_937,23:03:00,503848,1,2,1,requester,7616
MQ_A5-Weekday-138300_SBS60_937,23:03:00,503848,1,2,2,requester,7617
MQ_A5-Weekday-138300_SBS60_937,23:14:52,504517,5,3,3,requester,7618
MQ_A5-Weekday-138300_SBS60_937,23:21:00,504007,7,3,3,releaser,7618
MQ_A5-Weekday-138300_SBS60_937,23:41:02,405415,11,2,2,releaser,7617
MQ_A5-Weekday-138300_SBS60_937,23:51:00,402018,17,1,1,releaser,7616
MQ_A5-Weekday-139500_SBS60_938,23:15:00,503848,1,1,1,requester,7649
MQ_A5-Weekday-139500_SBS60_938,24:03:00,402018,17,1,1,releaser,7649
MQ_A5-Weekday-140700_SBS60_939,23:27:00,503848,1,2,1,requester,7682
MQ_A5-Weekday-140700_SBS60_939,23:27:00,503848,1,2,2,requester,7683
MQ_A5-Weekday-140700_SBS60_939,24:02:59,405473,10,2,2,releaser,7683
MQ_A5-Weekday-140700_SBS60_939,24:15:00,402018,17,1,1,releaser,7682
MQ_A5-Weekday-148600_SBS60_937,24:46:00,503848,1,1,1,requester,7832
MQ_A5-Weekday-148600_SBS60_937,25:30:00,402018,17,1,1,releaser,7832
MQ_A5-Weekday-150400_SBS60_938,25:04:00,503848,1,1,1,requester,7853
MQ_A5-Weekday-150400_SBS60_938,25:48:00,402018,17,1,1,releaser,7853
MQ_A5-Weekday-151800_SBS60_939,25:18:00,503848,1,1,1,requester,7858
MQ_A5-Weekday-151800_SBS60_939,26:01:00,402018,17,1,1,releaser,7858
MQ_A5-Weekday-SDon-012800_SBS60_901,2:08:00,503848,1,1,1,requester,7885
MQ_A5-Weekday-SDon-012800_SBS60_901,2:49:00,402018,17,1,1,releaser,7885
MQ_A5-Weekday-SDon-015500_SBS60_902,2:35:00,503848,1,1,1,requester,7895
MQ_A5-Weekday-SDon-015500_SBS60_902,3:13:00,402018,17,1,1,releaser,7895
MQ_A5-Weekday-SDon-018500_SBS60_903,3:05:00,503848,1,1,1,requester,7907
MQ_A5-Weekday-SDon-018500_SBS60_903,3:43:00,402018,17,1,1,releaser,7907
MQ_A5-Weekday-SDon-020500_SBS60_904,3:25:00,503848,1,2,1,requester,7916
MQ_A5-Weekday-SDon-020500_SBS60_904,3:25:00,503848,1,2,2,requester,7917
MQ_A5-Weekday-SDon-020500_SBS60_904,4:03:00,402018,17,2,1,releaser,7916
MQ_A5-Weekday-SDon-020500_SBS60_904,4:03:00,402018,17,2,2,releaser,7917
MQ_A5-Weekday-SDon-022500_SBS60_901,3:45:00,503848,1,1,1,requester,7924
MQ_A5-Weekday-SDon-022500_SBS60_901,4:23:00,402018,17,1,1,releaser,7924
MQ_A5-Weekday-SDon-028000_SBS60_903,4:40:00,503848,1,2,1,requester,7949
MQ_A5-Weekday-SDon-028000_SBS60_903,4:40:00,503848,1,2,2,requester,7950
MQ_A5-Weekday-SDon-028000_SBS60_903,4:47:08,503855,4,2,2,releaser,7950
MQ_A5-Weekday-SDon-028000_SBS60_903,5:18:00,402018,17,1,1,releaser,7949
MQ_A5-Weekday-SDon-030400_SBS60_904,5:04:00,503848,1,1,1,requester,7976
MQ_A5-Weekday-SDon-030400_SBS60_904,5:48:00,402018,17,1,1,releaser,7976
MQ_A5-Weekday-SDon-033800_SBS60_909,5:38:00,503848,1,1,1,requester,8037
MQ_A5-Weekday-SDon-033800_SBS60_909,5:48:07,503855,4,2,2,requester,8038
MQ_A5-Weekday-SDon-033800_SBS60_909,5:53:09,503870,6,3,3,requester,8039
MQ_A5-Weekday-SDon-033800_SBS60_909,6:10:44,405414,8,3,2,releaser,8038
MQ_A5-Weekday-SDon-033800_SBS60_909,6:10:44,405414,8,3,3,releaser,8039
MQ_A5-Weekday-SDon-033800_SBS60_909,6:24:00,402018,17,1,1,releaser,8037
MQ_A5-Weekday-SDon-036000_SBS60_910,6:00:00,503848,1,1,1,requester,8115
MQ_A5-Weekday-SDon-036000_SBS60_910,6:02:17,904242,2,2,2,requester,8116
MQ_A5-Weekday-SDon-036000_SBS60_910,6:10:43,503855,4,3,3,requester,8117
MQ_A5-Weekday-SDon-036000_SBS60_910,6:16:03,503870,6,4,4,requester,8118
MQ_A5-Weekday-SDon-036000_SBS60_910,6:34:49,405414,8,4,3,releaser,8117
MQ_A5-Weekday-SDon-036000_SBS60_910,6:34:49,405414,8,4,4,releaser,8118
MQ_A5-Weekday-SDon-036000_SBS60_910,6:42:34,405425,13,2,2,releaser,8116
MQ_A5-Weekday-SDon-036000_SBS60_910,6:49:00,402018,17,1,1,releaser,8115
MQ_A5-Weekday-SDon-041200_SBS60_903,6:52:00,503848,1,1,1,requester,8402
MQ_A5-Weekday-SDon-041200_SBS60_903,7:51:00,402018,17,1,1,releaser,8402
MQ_A5-Weekday-SDon-044900_SBS60_909,7:29:00,503848,1,3,1,requester,8573
MQ_A5-Weekday-SDon-044900_SBS60_909,7:29:00,503848,1,3,2,requester,8574
MQ_A5-Weekday-SDon-044900_SBS60_909,7:29:00,503848,1,3,3,requester,8575
MQ_A5-Weekday-SDon-044900_SBS60_909,8:19:43,405415,11,3,3,releaser,8575
MQ_A5-Weekday-SDon-044900_SBS60_909,8:33:00,402018,17,2,1,releaser,8573
MQ_A5-Weekday-SDon-044900_SBS60_909,8:33:00,402018,17,2,2,releaser,8574
MQ_A5-Weekday-SDon-048500_SBS60_910,8:05:00,503848,1,1,1,requester,9101
MQ_A5-Weekday-SDon-048500_SBS60_910,8:17:13,503853,3,2,2,requester,9102
MQ_A5-Weekday-SDon-048500_SBS60_910,8:22:09,504517,5,4,3,requester,9103
MQ_A5-Weekday-SDon-048500_SBS60_910,8:22:09,504517,5,4,4,requester,9104
MQ_A5-Weekday-SDon-048500_SBS60_910,8:52:42,405414,8,5,5,requester,9105
MQ_A5-Weekday-SDon-048500_SBS60_910,8:54:15,405419,9,6,6,requester,9106
MQ_A5-Weekday-SDon-048500_SBS60_910,8:54:59,405473,10,6,5,releaser,9105
MQ_A5-Weekday-SDon-048500_SBS60_910,8:54:59,405473,10,6,6,releaser,9106
MQ_A5-Weekday-SDon-048500_SBS60_910,8:57:43,405415,11,4,3,releaser,9103
MQ_A5-Weekday-SDon-048500_SBS60_910,8:57:43,405415,11,4,4,releaser,9104
MQ_A5-Weekday-SDon-048500_SBS60_910,9:11:00,402018,17,2,1,releaser,9101
MQ_A5-Weekday-SDon-048500_SBS60_910,9:11:00,402018,17,2,2,releaser,9102
MQ_A5-Weekday-SDon-054200_SBS60_903,9:02:00,503848,1,2,1,requester,9901
MQ_A5-Weekday-SDon-054200_SBS60_903,9:02:00,503848,1,2,2,requester,9902
MQ_A5-Weekday-SDon-054200_SBS60_903,9:04:32,904242,2,2,2,releaser,9902
MQ_A5-Weekday-SDon-054200_SBS60_903,9:43:31,405419,9,2,2,requester,9903
MQ_A5-Weekday-SDon-054200_SBS60_903,9:48:56,405426,12,2,2,releaser,9903
MQ_A5-Weekday-SDon-054200_SBS60_903,9:59:00,402018,17,1,1,releaser,9901
MQ_A5-Weekday-SDon-056100_SBS60_905,9:21:00,503848,1,4,1,requester,10108
MQ_A5-Weekday-SDon-056100_SBS60_905,9:21:00,503848,1,4,2,requester,10109
MQ_A5-Weekday-SDon-056100_SBS60_905,9:21:00,503848,1,4,3,requester,10110
MQ_A5-Weekday-SDon-056100_SBS60_905,9:21:00,503848,1,4,4,requester,10111
MQ_A5-Weekday-SDon-056100_SBS60_905,10:05:43,405415,11,4,3,releaser,10110
MQ_A5-Weekday-SDon-056100_SBS60_905,10:05:43,405415,11,4,4,releaser,10111
MQ_A5-Weekday-SDon-056100_SBS60_905,10:10:20,405425,13,2,2,releaser,10109
MQ_A5-Weekday-SDon-056100_SBS60_905,10:18:00,402018,17,1,1,releaser,10108
MQ_A5-Weekday-SDon-059100_SBS60_919,9:51:00,503848,1,1,1,requester,10399
MQ_A5-Weekday-SDon-059100_SBS60_919,10:04:11,504517,5,2,2,requester,10400
MQ_A5-Weekday-SDon-059100_SBS60_919,10:35:43,405415,11,2,2,releaser,10400
MQ_A5-Weekday-SDon-059100_SBS60_919,10:48:00,402018,17,1,1,releaser,10399
MQ_A5-Weekday-SDon-062100_SBS60_908,10:21:00,503848,1,4,1,requester,10676
MQ_A5-Weekday-SDon-062100_SBS60_908,10:21:00,503848,1,4,2,requester,10677
MQ_A5-Weekday-SDon-062100_SBS60_908,10:21:00,503848,1,4,3,requester,10678
MQ_A5-Weekday-SDon-062100_SBS60_908,10:21:00,503848,1,4,4,requester,10679
MQ_A5-Weekday-SDon-062100_SBS60_908,10:34:11,504517,5,5,5,requester,10680
MQ_A5-Weekday-SDon-062100_SBS60_908,11:02:31,405419,9,6,6,requester,10681
MQ_A5-Weekday-SDon-062100_SBS60_908,11:03:11,405473,10,6,5,releaser,10680
MQ_A5-Weekday-SDon-062100_SBS60_908,11:03:11,405473,10,6,6,releaser,10681
MQ_A5-Weekday-SDon-062100_SBS60_908,11:05:43,405415,11,4,3,releaser,10678
MQ_A5-Weekday-SDon-062100_SBS60_908,11:05:43,405415,11,4,4,releaser,10679
MQ_A5-Weekday-SDon-062100_SBS60_908,11:07:56,405426,12,2,2,releaser,10677
MQ_A5-Weekday-SDon-062100_SBS60_908,11:18:00,402018,17,1,1,releaser,10676
MQ_A5-Weekday-SDon-063100_SBS60_921,10:31:00,503848,1,1,1,requester,10781
MQ_A5-Weekday-SDon-063100_SBS60_921,11:28:00,402018,17,1,1,releaser,10781
