service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_A5-Sunday,0,0,0,0,0,0,1,20250105,20250323
MQ_A5-Weekday-SDon,1,1,1,1,1,0,0,20250106,20250328
MQ_A5-Saturday,0,0,0,0,0,1,0,20250111,20250329
MQ_H5-Weekday,1,1,1,1,1,0,0,20250120,20250120
MV_A5-Sunday,0,0,0,0,0,0,1,20250105,20250323
MV_A5-Weekday-SDon,1,1,1,1,1,0,0,20250106,20250328
MV_A5-Saturday,0,0,0,0,0,1,0,20250111,20250329
MV_A5-Saturday-BM,0,0,0,0,1,0,0,20250110,20250328
MV_H5-Weekday,1,1,1,1,1,0,0,20250120,20250120
OF_A5-Sunday,0,0,0,0,0,0,1,20250105,20250323
OF_A5-Weekday-SDon,1,1,1,1,1,0,0,20250106,20250328
OF_A5-Saturday,0,0,0,0,0,1,0,20250111,20250329
OF_H5-Weekday,1,1,1,1,1,0,0,20250120,20250120
OH_A5-Sunday,0,0,0,0,0,0,1,20250105,20250323
OH_A5-Sunday-BM,0,0,0,0,0,1,0,20250104,20250322
OH_A5-Weekday-SDon,1,1,1,1,1,0,0,20250106,20250328
OH_A5-Weekday-SDon-BM,1,1,1,1,0,0,1,20250105,20250327
OH_A5-Saturday,0,0,0,0,0,1,0,20250111,20250329
OH_A5-Saturday-BM,0,0,0,0,1,0,0,20250110,20250328
OH_H5-Weekday,1,1,1,1,1,0,0,20250120,20250120
OH_H5-Weekday-BM,1,1,1,1,0,0,1,20250119,20250119
