route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
M66,MQ_H5-Weekday,MQ_H5-Weekday-030000_M66_501,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366706,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-032000_M66_501,EAST SIDE YORK AV CROSSTOWN,0,36366706,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-034000_M66_501,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366706,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-036700_M66_501,EAST SIDE YORK AV CROSSTOWN,0,36366706,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-039500_M66_501,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366706,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-042200_M66_501,EAST SIDE YORK AV CROSSTOWN,0,36366706,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-045400_M66_501,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366706,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-048800_M66_501,EAST SIDE YORK AV CROSSTOWN,0,36366706,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-141000_M66_520,EAST SIDE YORK AV CROSSTOWN,0,36366709,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-030000_M66_502,EAST SIDE YORK AV CROSSTOWN,0,36366707,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-032000_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366707,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-034000_M66_502,EAST SIDE YORK AV CROSSTOWN,0,36366707,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-036000_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366707,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-039100_M66_502,EAST SIDE YORK AV CROSSTOWN,0,36366707,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-042000_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366707,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-045200_M66_502,EAST SIDE YORK AV CROSSTOWN,0,36366707,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-048500_M66_509,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366714,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-051200_M66_508,EAST SIDE YORK AV CROSSTOWN,0,36366713,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-035500_M66_503,EAST SIDE YORK AV CROSSTOWN,0,36366708,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-038000_M66_503,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366708,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-040900_M66_505,EAST SIDE YORK AV CROSSTOWN,0,36366710,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-043800_M66_505,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366710,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-047000_M66_505,EAST SIDE YORK AV CROSSTOWN,0,36366710,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-050800_M66_505,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366710,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-053600_M66_510,EAST SIDE YORK AV CROSSTOWN,0,36366715,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-037900_M66_504,EAST SIDE YORK AV CROSSTOWN,0,36366709,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-041000_M66_504,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366709,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-043400_M66_504,EAST SIDE YORK AV CROSSTOWN,0,36366709,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-047000_M66_504,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366709,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-049400_M66_507,EAST SIDE YORK AV CROSSTOWN,0,36366712,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-040100_M66_503,EAST SIDE YORK AV CROSSTOWN,0,36366708,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-043000_M66_503,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366708,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-045800_M66_503,EAST SIDE YORK AV CROSSTOWN,0,36366708,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-049300_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366707,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-052400_M66_509,EAST SIDE YORK AV CROSSTOWN,0,36366714,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-044600_M66_506,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366711,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-047600_M66_506,EAST SIDE YORK AV CROSSTOWN,0,36366711,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-051500_M66_506,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366711,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-055000_M66_506,EAST SIDE YORK AV CROSSTOWN,0,36366711,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-061600_M66_513,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366709,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-070000_M66_513,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366709,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-072800_M66_502,EAST SIDE YORK AV CROSSTOWN,0,36366712,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-077200_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366712,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-081200_M66_502,EAST SIDE YORK AV CROSSTOWN,0,36366712,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-085100_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366712,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-088400_M66_515,EAST SIDE YORK AV CROSSTOWN,0,36366711,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-092800_M66_515,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366711,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-096400_M66_511,EAST SIDE YORK AV CROSSTOWN,0,36366721,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-100000_M66_512,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366710,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-103800_M66_512,EAST SIDE YORK AV CROSSTOWN,0,36366710,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-107100_M66_512,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366710,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-042800_M66_507,EAST SIDE YORK AV CROSSTOWN,0,36366712,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-046200_M66_507,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366712,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-053800_M66_504,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366709,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-056700_M66_507,EAST SIDE YORK AV CROSSTOWN,0,36366712,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-044000_M66_508,EAST SIDE YORK AV CROSSTOWN,0,36366713,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-050000_M66_504,EAST SIDE YORK AV CROSSTOWN,0,36366709,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-054800_M66_512,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366717,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-057600_M66_513,EAST SIDE YORK AV CROSSTOWN,0,36366709,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-062800_M66_512,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366717,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-065600_M66_513,EAST SIDE YORK AV CROSSTOWN,0,36366709,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-074000_M66_513,EAST SIDE YORK AV CROSSTOWN,0,36366709,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-078400_M66_513,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366709,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-082400_M66_506,EAST SIDE YORK AV CROSSTOWN,0,36366709,M660011
M66,MQ_H5-Weekday,MQ_H5-Weekday-086000_M66_516,LINCOLN CENTER WEST END AV CROSSTOWN,1,36366718,M660009
M66,MQ_H5-Weekday,MQ_H5-Weekday-089600_M66_513,EAST SIDE YORK AV CROSSTOWN,0,36366712,M660011
