stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:59:00,8:59:00,403249,1.0,1
2,9:00:30,9:00:30,403251,2.0,1
3,9:01:59,9:01:59,403252,2.0,1
4,9:03:22,9:03:22,403253,2.0,1
5,9:05:00,9:05:00,904041,2.0,1
6,9:06:40,9:06:40,403805,2.0,1
7,9:07:29,9:07:29,403257,2.0,1
8,9:09:47,9:09:47,403830,2.0,1
9,9:11:00,9:11:00,403354,2.0,1
10,9:12:13,9:12:13,403259,2.0,1
11,9:15:00,9:15:00,401851,2.0,1
12,9:16:15,9:16:15,401852,2.0,1
13,9:17:40,9:17:40,401853,2.0,1
14,9:18:45,9:18:45,403486,2.0,1
15,9:20:09,9:20:09,405118,2.0,1
16,9:21:00,9:21:00,903082,2.0,1
