stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,17:43:00,17:43:00,403522,12.0,1
2,17:46:00,17:46:00,403523,12.0,3
3,17:46:52,17:46:52,401024,41.0,3
4,17:48:47,17:48:47,401867,41.0,3
5,17:49:43,17:49:43,401868,16.0,1
6,17:51:55,17:51:55,401869,16.0,1
7,17:54:00,17:54:00,401870,10.0,1
8,17:55:18,17:55:18,404858,10.0,2
9,17:57:13,17:57:13,405169,19.0,2
10,17:58:43,17:58:43,405369,19.0,2
11,18:00:32,18:00:32,401875,6.0,1
12,18:02:23,18:02:23,401876,6.0,1
13,18:03:54,18:03:54,401877,2.0,1
14,18:06:00,18:06:00,401878,2.0,1
