stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,17:59:00,17:59:00,450222,12.0,1
2,18:00:47,18:00:47,401507,12.0,2
3,18:03:00,18:03:00,404286,23.0,2
4,18:04:31,18:04:31,401575,23.0,2
5,18:06:29,18:06:29,401294,32.0,3
6,18:08:16,18:08:16,401577,37.0,3
7,18:11:08,18:11:08,404271,39.0,3
8,18:13:00,18:13:00,403556,44.0,3
9,18:14:11,18:14:11,401191,46.0,3
10,18:15:23,18:15:23,401192,46.0,3
11,18:16:40,18:16:40,401193,46.0,4
12,18:17:35,18:17:35,401194,54.0,4
13,18:18:50,18:18:50,401195,48.0,3
14,18:20:07,18:20:07,401587,48.0,3
15,18:21:13,18:21:13,401589,30.0,2
16,18:23:14,18:23:14,401591,30.0,2
17,18:25:11,18:25:11,401595,30.0,2
18,18:26:03,18:26:03,401596,19.0,2
19,18:27:07,18:27:07,403808,19.0,2
20,18:28:31,18:28:31,401599,17.0,2
21,18:30:05,18:30:05,401600,17.0,2
22,18:31:09,18:31:09,403557,17.0,2
23,18:33:00,18:33:00,903088,17.0,2
