stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,7:57:00,7:57:00,403249,7.0,1
2,7:58:30,7:58:30,403251,7.0,1
3,7:59:59,7:59:59,403252,6.0,1
4,8:01:22,8:01:22,403253,16.0,1
5,8:03:00,8:03:00,904041,16.0,1
6,8:04:40,8:04:40,403805,16.0,1
7,8:05:29,8:05:29,403257,13.0,2
8,8:07:47,8:07:47,403830,32.0,2
9,8:09:00,8:09:00,403354,32.0,2
10,8:10:13,8:10:13,403259,32.0,2
11,8:13:00,8:13:00,401851,32.0,2
12,8:14:15,8:14:15,401852,31.0,2
13,8:15:40,8:15:40,401853,11.0,1
14,8:16:45,8:16:45,403486,11.0,1
15,8:18:09,8:18:09,405118,8.0,1
16,8:19:00,8:19:00,903082,8.0,1
