stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:01:00,8:01:00,403522,13.0,1
2,8:04:00,8:04:00,403523,13.0,1
3,8:05:05,8:05:05,401024,13.0,2
4,8:07:29,8:07:29,401867,22.0,2
5,8:08:38,8:08:38,401868,22.0,2
6,8:11:24,8:11:24,401869,22.0,2
7,8:14:00,8:14:00,401870,22.0,2
8,8:15:18,8:15:18,404858,22.0,2
9,8:17:13,8:17:13,405169,19.0,2
10,8:18:43,8:18:43,405369,19.0,2
11,8:20:32,8:20:32,401875,19.0,2
12,8:22:23,8:22:23,401876,14.0,1
13,8:23:54,8:23:54,401877,14.0,1
14,8:26:00,8:26:00,401878,14.0,1
