stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:48:00,8:48:00,405003,2.0,1
2,8:48:58,8:48:58,401916,3.0,1
3,8:51:26,8:51:26,404859,7.0,1
4,8:53:09,8:53:09,401919,7.0,1
5,8:55:14,8:55:14,401920,11.0,1
6,8:56:42,8:56:42,401921,11.0,1
7,8:58:17,8:58:17,401922,11.0,1
8,8:59:51,8:59:51,401924,11.0,1
9,9:01:00,9:01:00,401925,11.0,1
10,9:03:36,9:03:36,401926,11.0,1
11,9:06:40,9:06:40,401927,11.0,1
12,9:07:52,9:07:52,404308,11.0,1
13,9:09:04,9:09:04,401929,11.0,1
14,9:09:47,9:09:47,803166,11.0,1
15,9:11:00,9:11:00,403518,11.0,1
