stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,13:51:00,13:51:00,401880,7.0,1
2,13:52:49,13:52:49,401881,1.0,2
3,13:54:02,13:54:02,401882,17.0,2
4,13:56:27,13:56:27,401883,21.0,2
5,13:58:18,13:58:18,401884,21.0,2
6,13:59:26,13:59:26,404860,21.0,2
7,14:01:38,14:01:38,401887,25.0,2
8,14:03:00,14:03:00,403989,31.0,2
9,14:05:42,14:05:42,401889,31.0,2
10,14:08:28,14:08:28,401890,15.0,2
11,14:10:02,14:10:02,404838,18.0,2
12,14:11:50,14:11:50,403733,18.0,2
13,14:13:00,14:13:00,401893,8.0,1
14,14:23:00,14:23:00,903286,8.0,1
