stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,13:58:00,13:58:00,402183,36.0,3
2,13:59:00,13:59:00,405193,36.0,3
3,14:01:52,14:01:52,402185,10.0,1
4,14:04:14,14:04:14,402186,10.0,1
5,14:08:34,14:08:34,402188,7.0,1
6,14:11:00,14:11:00,402189,10.0,1
7,14:15:09,14:15:09,402191,8.0,1
8,14:19:00,14:19:00,404035,14.0,2
9,14:20:55,14:20:55,404948,20.0,2
10,14:22:32,14:22:32,402194,12.0,2
11,14:24:07,14:24:07,402195,23.0,2
12,14:26:19,14:26:19,403954,19.0,2
13,14:27:25,14:27:25,403955,19.0,2
14,14:28:59,14:28:59,403956,14.0,1
15,14:31:00,14:31:00,903082,14.0,1
