stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:05:00,8:05:00,402688,2.0,1
2,8:06:28,8:06:28,403432,2.0,1
3,8:08:40,8:08:40,403433,2.0,1
4,8:10:33,8:10:33,403434,2.0,1
5,8:14:07,8:14:07,403777,10.0,1
6,8:17:07,8:17:07,403436,16.0,2
7,8:20:01,8:20:01,405181,20.0,2
8,8:23:00,8:23:00,403537,24.0,2
9,8:40:22,8:40:22,403439,24.0,2
10,8:41:03,8:41:03,403440,17.0,2
11,8:41:26,8:41:26,404194,17.0,2
12,8:42:03,8:42:03,403670,2.0,1
13,8:43:01,8:43:01,400631,2.0,1
14,8:43:27,8:43:27,400632,2.0,1
15,8:43:54,8:43:54,400633,2.0,1
16,8:44:25,8:44:25,400634,2.0,1
17,8:45:18,8:45:18,400635,2.0,1
18,8:46:00,8:46:00,400636,2.0,1
