stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,19:22:00,19:22:00,400639,4.0,1
2,19:23:28,19:23:28,400640,4.0,1
3,19:24:38,19:24:38,400641,4.0,1
4,19:25:34,19:25:34,400642,4.0,1
5,19:26:16,19:26:16,400643,3.0,1
6,19:26:59,19:26:59,400644,5.0,1
7,19:27:47,19:27:47,400645,2.0,1
8,19:28:42,19:28:42,400646,4.0,1
9,19:29:41,19:29:41,400647,4.0,1
10,19:30:29,19:30:29,400648,4.0,1
11,19:31:16,19:31:16,400649,4.0,1
12,19:32:00,19:32:00,403373,4.0,1
13,19:33:29,19:33:29,403374,1.0,1
14,19:34:21,19:34:21,403375,5.0,1
15,19:35:14,19:35:14,403376,5.0,1
16,19:36:17,19:36:17,403377,6.0,1
17,19:37:53,19:37:53,400655,7.0,1
18,19:39:17,19:39:17,400656,8.0,1
19,19:40:47,19:40:47,400657,2.0,1
20,19:41:48,19:41:48,400658,5.0,1
21,19:43:20,19:43:20,400659,2.0,1
22,19:44:00,19:44:00,403483,2.0,1
23,19:45:25,19:45:25,400661,2.0,1
24,19:46:09,19:46:09,400662,2.0,1
25,19:46:53,19:46:53,400663,2.0,1
26,19:48:00,19:48:00,803157,2.0,1
