stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,7:57:00,7:57:00,403942,5.0,1
2,7:58:58,7:58:58,403139,5.0,1
3,8:01:04,8:01:04,403604,5.0,1
4,8:02:10,8:02:10,403763,5.0,1
5,8:03:24,8:03:24,403142,5.0,1
6,8:04:23,8:04:23,403144,5.0,1
7,8:05:56,8:05:56,403145,5.0,1
8,8:07:01,8:07:01,405234,3.0,1
9,8:08:51,8:08:51,403147,8.0,1
10,8:09:51,8:09:51,403148,8.0,1
11,8:10:49,8:10:49,403149,8.0,1
12,8:11:49,8:11:49,403150,8.0,1
13,8:12:32,8:12:32,403151,6.0,1
14,8:14:00,8:14:00,403152,7.0,1
15,8:15:21,8:15:21,403153,12.0,1
16,8:16:52,8:16:52,403154,14.0,2
17,8:18:21,8:18:21,403155,17.0,2
18,8:21:00,8:21:00,405249,17.0,2
19,8:22:41,8:22:41,403158,17.0,2
20,8:23:54,8:23:54,403159,20.0,2
21,8:25:38,8:25:38,405541,7.0,2
22,8:27:39,8:27:39,403162,24.0,2
23,8:28:53,8:28:53,403163,12.0,1
24,8:30:04,8:30:04,403164,7.0,2
25,8:32:00,8:32:00,403165,30.0,2
26,8:34:25,8:34:25,403166,7.0,2
27,8:36:09,8:36:09,403167,22.0,2
28,8:37:54,8:37:54,403168,24.0,2
29,8:40:05,8:40:05,403169,25.0,2
30,8:41:39,8:41:39,400856,8.0,2
31,8:44:06,8:44:06,403171,25.0,2
32,8:46:00,8:46:00,404138,25.0,2
33,8:47:27,8:47:27,400860,25.0,2
34,8:48:26,8:48:26,903233,25.0,2
35,8:48:42,8:48:42,400861,21.0,2
36,8:49:30,8:49:30,403781,21.0,2
37,8:51:11,8:51:11,400948,21.0,2
38,8:53:01,8:53:01,400950,21.0,2
39,8:53:44,8:53:44,400951,18.0,2
40,8:55:13,8:55:13,403797,15.0,1
41,8:57:59,8:57:59,405297,14.0,1
42,8:59:30,8:59:30,404153,14.0,1
43,9:01:00,9:01:00,803144,14.0,1
