stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:21:00,8:21:00,401998,19.0,2
2,8:21:37,8:21:37,405315,25.0,2
3,8:22:00,8:22:00,401999,25.0,3
4,8:23:17,8:23:17,402000,46.0,3
5,8:25:34,8:25:34,402001,46.0,3
6,8:26:49,8:26:49,402002,43.0,3
7,8:28:08,8:28:08,402003,46.0,3
8,8:29:11,8:29:11,402004,47.0,4
9,8:31:00,8:31:00,402005,49.0,4
10,8:31:52,8:31:52,402006,49.0,4
11,8:35:00,8:35:00,404274,45.0,3
12,8:37:24,8:37:24,401078,37.0,3
13,8:39:00,8:39:00,401079,37.0,3
14,8:40:26,8:40:26,400482,37.0,3
15,8:41:18,8:41:18,400483,24.0,2
16,8:42:49,8:42:49,400484,31.0,2
17,8:44:04,8:44:04,403392,3.0,2
18,8:45:07,8:45:07,401084,27.0,2
19,8:46:01,8:46:01,401085,2.0,2
20,8:47:00,8:47:00,402016,17.0,2
21,8:47:41,8:47:41,402017,8.0,1
22,8:48:00,8:48:00,401977,8.0,1
