stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:02:00,8:02:00,903093,18.0,2
2,8:06:00,8:06:00,405322,25.0,2
3,8:09:29,8:09:29,405323,25.0,2
4,8:11:00,8:11:00,404995,27.0,2
5,8:13:09,8:13:09,403480,22.0,3
6,8:16:13,8:16:13,401698,35.0,3
7,8:18:48,8:18:48,401701,29.0,3
8,8:21:55,8:21:55,401704,39.0,3
9,8:25:30,8:25:30,401707,12.0,1
10,8:30:07,8:30:07,401712,16.0,1
11,8:32:48,8:32:48,401715,8.0,1
12,8:37:00,8:37:00,903102,8.0,1
13,8:39:16,8:39:16,401723,5.0,1
14,8:41:52,8:41:52,401727,8.0,1
15,8:44:00,8:44:00,401731,6.0,1
16,8:46:00,8:46:00,803054,6.0,1
