stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:26:00,8:26:00,903093,10.0,3
2,8:30:00,8:30:00,405322,47.0,3
3,8:33:29,8:33:29,405323,34.0,3
4,8:35:00,8:35:00,404995,24.0,2
5,8:37:09,8:37:09,403480,24.0,2
6,8:40:13,8:40:13,401698,24.0,2
7,8:42:48,8:42:48,401701,17.0,2
8,8:45:55,8:45:55,401704,18.0,2
9,8:49:30,8:49:30,401707,18.0,2
10,8:54:07,8:54:07,401712,18.0,2
11,8:56:48,8:56:48,401715,18.0,2
12,9:01:00,9:01:00,903102,18.0,2
13,9:03:16,9:03:16,401723,18.0,2
14,9:05:52,9:05:52,401727,18.0,2
15,9:08:00,9:08:00,401731,18.0,2
16,9:10:00,9:10:00,803054,18.0,2
