stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:02:00,8:02:00,903093,23.0,4
2,8:06:00,8:06:00,405322,60.0,4
3,8:09:29,8:09:29,405323,60.0,4
4,8:11:00,8:11:00,404995,40.0,5
5,8:13:09,8:13:09,403480,69.0,5
6,8:16:13,8:16:13,401698,56.0,4
7,8:18:48,8:18:48,401701,55.0,4
8,8:21:55,8:21:55,401704,55.0,4
9,8:25:30,8:25:30,401707,55.0,4
10,8:30:07,8:30:07,401712,55.0,4
11,8:32:48,8:32:48,401715,15.0,1
12,8:37:00,8:37:00,903102,11.0,2
13,8:39:16,8:39:16,401723,19.0,2
14,8:41:52,8:41:52,401727,8.0,1
15,8:44:00,8:44:00,401731,4.0,1
16,8:46:00,8:46:00,803054,4.0,1
