stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,15:18:00,15:18:00,405382,51.0,4
2,15:22:07,15:22:07,405318,51.0,4
3,15:24:30,15:24:30,403601,51.0,4
4,15:28:19,15:28:19,405319,46.0,3
5,15:33:33,15:33:33,405320,46.0,3
6,15:38:00,15:38:00,903093,37.0,3
7,15:42:00,15:42:00,405322,31.0,4
8,15:46:03,15:46:03,405323,51.0,5
9,15:47:49,15:47:49,404995,66.0,5
10,15:50:18,15:50:18,403480,74.0,5
11,15:53:52,15:53:52,401698,80.0,5
12,15:56:52,15:56:52,401701,80.0,5
13,16:00:29,16:00:29,401704,60.0,4
14,16:04:38,16:04:38,401707,56.0,4
15,16:10:00,16:10:00,401712,19.0,3
16,16:13:08,16:13:08,401715,46.0,3
17,16:18:00,16:18:00,903102,40.0,3
18,16:20:55,16:20:55,401723,10.0,2
19,16:24:16,16:24:16,401727,26.0,2
20,16:27:00,16:27:00,401731,6.0,1
21,16:29:00,16:29:00,803054,6.0,1
