stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,23:25:00,23:25:00,404362,1.0,1
2,23:25:51,23:25:51,403791,6.0,1
3,23:27:00,23:27:00,402653,4.0,1
4,23:28:04,23:28:04,402723,6.0,1
5,23:29:23,23:29:23,405416,6.0,1
6,23:30:00,23:30:00,402657,6.0,1
7,23:31:23,23:31:23,402658,7.0,1
8,23:32:44,23:32:44,402659,15.0,1
9,23:34:15,23:34:15,402660,15.0,1
10,23:35:00,23:35:00,402661,10.0,1
11,23:36:25,23:36:25,402662,11.0,1
12,23:37:39,23:37:39,403671,10.0,1
13,23:39:00,23:39:00,403672,10.0,1
14,23:39:38,23:39:38,403673,13.0,1
15,23:40:31,23:40:31,403674,15.0,1
16,23:45:00,23:45:00,101014,12.0,1
17,23:46:32,23:46:32,101015,11.0,1
18,23:48:47,23:48:47,101017,12.0,1
19,23:49:54,23:49:54,101018,11.0,1
20,23:52:00,23:52:00,103708,11.0,1
