stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,17:50:00,17:50:00,903341,15.0,1
2,17:53:42,17:53:42,404008,15.0,1
3,17:54:39,17:54:39,402764,15.0,1
4,17:55:58,17:55:58,405186,15.0,1
5,17:56:48,17:56:48,402766,15.0,1
6,17:57:51,17:57:51,402767,15.0,1
7,17:59:44,17:59:44,402769,15.0,1
8,18:01:23,18:01:23,405069,15.0,1
9,18:02:48,18:02:48,402772,15.0,1
10,18:03:54,18:03:54,402773,15.0,1
11,18:04:48,18:04:48,402774,15.0,1
12,18:06:21,18:06:21,405070,15.0,1
13,18:08:00,18:08:00,404949,15.0,1
14,18:09:55,18:09:55,402638,15.0,1
15,18:11:09,18:11:09,402639,15.0,1
16,18:13:03,18:13:03,402641,15.0,1
17,18:14:32,18:14:32,402642,15.0,3
18,18:15:32,18:15:32,402643,40.0,3
19,18:17:15,18:17:15,402644,40.0,3
20,18:18:24,18:18:24,402645,40.0,3
21,18:20:04,18:20:04,402646,40.0,3
22,18:21:08,18:21:08,402647,40.0,3
23,18:22:47,18:22:47,405078,40.0,3
24,18:25:03,18:25:03,401458,40.0,3
25,18:26:03,18:26:03,401459,40.0,3
26,18:28:00,18:28:00,402653,40.0,3
27,18:29:35,18:29:35,402723,40.0,3
28,18:31:34,18:31:34,405416,43.0,3
29,18:32:29,18:32:29,402657,43.0,3
30,18:34:51,18:34:51,402658,43.0,3
31,18:37:10,18:37:10,402659,43.0,3
32,18:39:47,18:39:47,402660,43.0,3
33,18:41:05,18:41:05,402661,40.0,3
34,18:42:30,18:42:30,402662,40.0,3
35,18:44:00,18:44:00,404255,22.0,2
36,18:47:18,18:47:18,403416,9.0,1
37,18:50:55,18:50:55,403417,9.0,1
38,18:53:00,18:53:00,402816,6.0,1
39,18:56:00,18:56:00,403418,6.0,1
40,18:59:50,18:59:50,403419,6.0,1
41,19:02:35,19:02:35,402826,6.0,1
42,19:05:24,19:05:24,403421,6.0,1
43,19:07:00,19:07:00,403422,6.0,1
44,19:10:00,19:10:00,404171,6.0,1
45,19:13:26,19:13:26,403424,6.0,1
46,19:17:00,19:17:00,403425,6.0,1
47,19:19:14,19:19:14,403821,1.0,1
48,19:23:00,19:23:00,402854,3.0,1
49,19:27:17,19:27:17,404106,3.0,1
50,19:30:00,19:30:00,903148,3.0,1
