stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,23:53:00,23:53:00,404255,2.0,1
2,23:53:55,23:53:55,402805,2.0,1
3,23:54:53,23:54:53,405057,2.0,1
4,23:55:56,23:55:56,403416,2.0,1
5,23:56:26,23:56:26,402809,2.0,1
6,23:57:47,23:57:47,402811,2.0,1
7,23:59:09,23:59:09,403417,2.0,1
8,23:59:50,23:59:50,401973,4.0,1
9,24:00:27,24:00:27,401974,4.0,1
10,24:01:00,24:01:00,402816,4.0,1
11,24:01:44,24:01:44,403749,4.0,1
12,24:03:00,24:03:00,403418,4.0,1
13,24:03:22,24:03:22,402819,4.0,1
14,24:03:52,24:03:52,404947,4.0,1
15,24:04:29,24:04:29,405066,4.0,1
16,24:05:05,24:05:05,403419,3.0,1
17,24:05:48,24:05:48,404321,3.0,1
18,24:06:35,24:06:35,402826,4.0,1
19,24:07:07,24:07:07,404854,4.0,1
20,24:07:46,24:07:46,402829,11.0,1
21,24:08:07,24:08:07,403421,11.0,1
22,24:08:39,24:08:39,402831,11.0,1
23,24:09:00,24:09:00,403422,11.0,1
24,24:09:53,24:09:53,803158,11.0,1
25,24:10:23,24:10:23,402835,10.0,1
26,24:11:00,24:11:00,404171,10.0,1
27,24:11:42,24:11:42,402838,8.0,1
28,24:12:35,24:12:35,803163,8.0,1
29,24:12:58,24:12:58,403424,8.0,1
30,24:13:50,24:13:50,402842,8.0,1
31,24:15:00,24:15:00,403425,8.0,1
32,24:15:26,24:15:26,402845,8.0,1
33,24:16:06,24:16:06,405530,8.0,1
34,24:16:51,24:16:51,403821,8.0,1
35,24:17:43,24:17:43,403822,8.0,1
36,24:18:25,24:18:25,402851,8.0,1
37,24:18:55,24:18:55,402852,8.0,1
38,24:19:23,24:19:23,405272,8.0,1
39,24:20:00,24:20:00,402854,8.0,1
40,24:21:10,24:21:10,403772,8.0,1
41,24:22:07,24:22:07,402856,8.0,1
42,24:23:07,24:23:07,404106,8.0,1
43,24:24:08,24:24:08,402858,8.0,1
44,24:25:00,24:25:00,404092,8.0,1
45,24:25:59,24:25:59,903276,8.0,1
46,24:26:44,24:26:44,402862,8.0,1
47,24:27:25,24:27:25,402863,8.0,1
48,24:28:09,24:28:09,402864,8.0,1
49,24:29:00,24:29:00,402865,8.0,1
50,24:29:49,24:29:49,402867,8.0,1
51,24:30:48,24:30:48,402868,8.0,1
52,24:31:19,24:31:19,402869,8.0,1
53,24:32:12,24:32:12,803077,8.0,1
54,24:35:00,24:35:00,903282,8.0,1
