stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,23:50:00,23:50:00,803019,2.0,1
2,23:50:54,23:50:54,903296,2.0,1
3,23:52:05,23:52:05,401665,2.0,1
4,23:52:42,23:52:42,401666,2.0,1
5,23:54:07,23:54:07,404850,2.0,1
6,23:54:57,23:54:57,401669,4.0,1
7,23:55:47,23:55:47,401670,4.0,1
8,23:56:58,23:56:58,402088,4.0,1
9,23:58:13,23:58:13,402090,4.0,1
10,23:59:00,23:59:00,404843,4.0,1
11,23:59:38,23:59:38,401675,4.0,1
12,24:00:59,24:00:59,405320,4.0,1
13,24:02:07,24:02:07,401679,5.0,1
14,24:03:13,24:03:13,401681,6.0,1
15,24:04:00,24:04:00,401682,6.0,1
16,24:04:53,24:04:53,405098,7.0,1
17,24:06:00,24:06:00,401685,12.0,1
18,24:06:51,24:06:51,401686,12.0,1
19,24:08:00,24:08:00,401687,12.0,1
20,24:08:25,24:08:25,401688,12.0,1
21,24:09:13,24:09:13,401689,12.0,1
22,24:10:00,24:10:00,401690,12.0,1
23,24:10:38,24:10:38,401691,11.0,1
24,24:11:15,24:11:15,405396,11.0,2
25,24:11:43,24:11:43,404995,17.0,2
26,24:12:24,24:12:24,401694,17.0,2
27,24:13:29,24:13:29,403480,17.0,2
28,24:14:02,24:14:02,401696,17.0,2
29,24:14:57,24:14:57,401697,17.0,2
30,24:16:00,24:16:00,401698,17.0,2
31,24:16:35,24:16:35,401699,16.0,1
32,24:17:49,24:17:49,401701,15.0,1
33,24:18:34,24:18:34,401702,14.0,1
34,24:19:21,24:19:21,401703,14.0,1
35,24:20:00,24:20:00,401704,14.0,1
36,24:20:24,24:20:24,405138,14.0,1
37,24:21:13,24:21:13,404253,14.0,1
38,24:21:48,24:21:48,401706,11.0,1
39,24:22:37,24:22:37,401707,11.0,1
40,24:23:26,24:23:26,401708,11.0,1
41,24:24:01,24:24:01,401709,11.0,1
42,24:24:51,24:24:51,401710,11.0,1
43,24:25:24,24:25:24,401711,10.0,1
44,24:26:00,24:26:00,401712,10.0,1
45,24:26:42,24:26:42,405100,8.0,1
46,24:27:38,24:27:38,401715,8.0,1
47,24:28:18,24:28:18,401716,8.0,1
48,24:29:12,24:29:12,401718,8.0,1
49,24:30:00,24:30:00,903275,4.0,1
50,24:30:44,24:30:44,401721,3.0,1
51,24:31:36,24:31:36,401722,3.0,1
52,24:32:44,24:32:44,401723,3.0,1
53,24:33:33,24:33:33,401724,3.0,1
54,24:34:11,24:34:11,401725,3.0,1
55,24:34:44,24:34:44,401726,2.0,1
56,24:35:38,24:35:38,401727,2.0,1
57,24:36:48,24:36:48,401729,2.0,1
58,24:37:26,24:37:26,401730,1.0,1
59,24:38:00,24:38:00,401731,1.0,1
60,24:40:00,24:40:00,803054,1.0,1
