stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,23:38:00,23:38:00,401732,1.0,1
2,23:38:48,23:38:48,401738,1.0,1
3,23:39:51,23:39:51,401739,1.0,1
4,23:40:55,23:40:55,401740,1.0,1
5,23:42:00,23:42:00,401741,1.0,1
6,23:43:03,23:43:03,401742,2.0,1
7,23:43:44,23:43:44,803228,2.0,1
8,23:44:48,23:44:48,401744,1.0,1
9,23:45:33,23:45:33,401745,1.0,1
10,23:46:32,23:46:32,401746,1.0,1
11,23:47:12,23:47:12,401747,1.0,1
12,23:48:29,23:48:29,401748,1.0,1
13,23:49:00,23:49:00,401749,1.0,1
14,23:49:39,23:49:39,403342,1.0,1
15,23:50:10,23:50:10,405233,1.0,1
16,23:51:00,23:51:00,405307,1.0,1
17,23:51:33,23:51:33,401753,1.0,1
18,23:52:29,23:52:29,401754,1.0,1
19,23:53:03,23:53:03,401755,1.0,1
20,23:54:00,23:54:00,401756,1.0,1
21,23:54:54,23:54:54,401758,3.0,1
22,23:55:49,23:55:49,401759,3.0,1
23,23:56:25,23:56:25,401760,4.0,1
24,23:57:00,23:57:00,401761,7.0,1
25,23:57:49,23:57:49,401762,7.0,1
26,23:58:33,23:58:33,401763,6.0,1
27,23:59:45,23:59:45,401764,6.0,1
28,24:01:19,24:01:19,401765,4.0,1
29,24:02:27,24:02:27,403887,5.0,1
30,24:04:00,24:04:00,401768,5.0,1
31,24:05:24,24:05:24,401769,5.0,1
32,24:07:20,24:07:20,401771,6.0,1
33,24:08:32,24:08:32,401772,6.0,1
34,24:09:29,24:09:29,404909,6.0,1
35,24:11:00,24:11:00,903266,6.0,1
36,24:11:39,24:11:39,401775,5.0,1
37,24:12:27,24:12:27,405336,7.0,1
38,24:13:36,24:13:36,401778,9.0,1
39,24:14:20,24:14:20,401779,9.0,1
40,24:15:16,24:15:16,401780,10.0,1
41,24:16:12,24:16:12,401781,10.0,1
42,24:17:00,24:17:00,401782,10.0,1
43,24:18:06,24:18:06,404105,10.0,1
44,24:19:19,24:19:19,401784,9.0,1
45,24:20:25,24:20:25,401785,9.0,1
46,24:21:36,24:21:36,401786,9.0,1
47,24:22:59,24:22:59,401787,9.0,1
48,24:24:00,24:24:00,403849,8.0,1
49,24:25:35,24:25:35,403647,6.0,1
50,24:27:09,24:27:09,405373,4.0,1
51,24:27:56,24:27:56,401793,4.0,1
52,24:29:00,24:29:00,404844,4.0,1
53,24:29:55,24:29:55,402111,4.0,1
54,24:30:56,24:30:56,402112,4.0,1
55,24:31:40,24:31:40,903054,4.0,1
56,24:32:23,24:32:23,404327,4.0,1
57,24:33:12,24:33:12,401797,4.0,1
58,24:34:23,24:34:23,403590,4.0,1
59,24:34:59,24:34:59,403831,1.0,1
60,24:36:32,24:36:32,405337,1.0,1
61,24:37:06,24:37:06,401802,1.0,1
62,24:38:33,24:38:33,903297,1.0,1
63,24:39:00,24:39:00,803002,1.0,1
