arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
4:38:00,4:38:00,803055,1,1
4:38:19,4:38:19,402160,2,1
4:38:50,4:38:50,402161,3,1
4:39:12,4:39:12,402162,4,1
4:39:33,4:39:33,402163,5,1
4:40:00,4:40:00,402164,6,1
4:40:59,4:40:59,402165,7,1
4:41:51,4:41:51,402166,8,1
4:43:00,4:43:00,402167,9,1
4:44:19,4:44:19,403760,10,1
4:46:14,4:46:14,402169,11,1
4:48:00,4:48:00,402171,12,1
4:48:49,4:48:49,402172,13,1
4:50:25,4:50:25,402173,14,1
4:51:12,4:51:12,402174,15,1
4:52:00,4:52:00,402175,16,1
4:53:00,4:53:00,803151,17,1
