trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-062300_M42_308,10:23:00,10:23:00,803055,1,1
MQ_A5-Weekday-062300_M42_308,10:23:28,10:23:28,401812,2,2
MQ_A5-Weekday-062300_M42_308,10:26:08,10:26:08,401813,3,2
MQ_A5-Weekday-062300_M42_308,10:28:35,10:28:35,401814,4,2
MQ_A5-Weekday-062300_M42_308,10:31:18,10:31:18,403238,5,2
MQ_A5-Weekday-062300_M42_308,10:33:00,10:33:00,403239,6,2
MQ_A5-Weekday-062300_M42_308,10:34:55,10:34:55,403240,7,1
MQ_A5-Weekday-062300_M42_308,10:37:00,10:37:00,403241,8,1
MQ_A5-Weekday-062300_M42_308,10:38:14,10:38:14,403242,9,1
MQ_A5-Weekday-062300_M42_308,10:40:18,10:40:18,403465,10,1
MQ_A5-Weekday-062300_M42_308,10:41:38,10:41:38,404160,11,1
MQ_A5-Weekday-062300_M42_308,10:42:46,10:42:46,403459,12,1
MQ_A5-Weekday-062300_M42_308,10:44:00,10:44:00,403245,13,1
MQ_A5-Weekday-062300_M42_308,10:44:28,10:44:28,403246,14,1
MQ_A5-Weekday-062300_M42_308,10:45:40,10:45:40,403247,15,1
MQ_A5-Weekday-062300_M42_308,10:46:41,10:46:41,403248,16,1
MQ_A5-Weekday-062300_M42_308,10:48:00,10:48:00,903046,17,1
