trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-085800_SBS86_970,14:18:00,14:18:00,403560,1,2
MQ_A5-Weekday-085800_SBS86_970,14:18:28,14:18:28,401930,2,2
MQ_A5-Weekday-085800_SBS86_970,14:19:08,14:19:08,401897,3,2
MQ_A5-Weekday-085800_SBS86_970,14:20:35,14:20:35,401898,4,2
MQ_A5-Weekday-085800_SBS86_970,14:22:01,14:22:01,401899,5,2
MQ_A5-Weekday-085800_SBS86_970,14:24:34,14:24:34,401900,6,2
MQ_A5-Weekday-085800_SBS86_970,14:27:00,14:27:00,401901,7,2
MQ_A5-Weekday-085800_SBS86_970,14:29:05,14:29:05,401903,8,1
MQ_A5-Weekday-085800_SBS86_970,14:31:38,14:31:38,401905,9,3
MQ_A5-Weekday-085800_SBS86_970,14:32:47,14:32:47,401906,10,3
MQ_A5-Weekday-085800_SBS86_970,14:34:15,14:34:15,404681,11,1
MQ_A5-Weekday-085800_SBS86_970,14:35:41,14:35:41,401908,12,1
MQ_A5-Weekday-085800_SBS86_970,14:37:35,14:37:35,401909,13,1
MQ_A5-Weekday-085800_SBS86_970,14:38:39,14:38:39,401910,14,1
MQ_A5-Weekday-085800_SBS86_970,14:40:19,14:40:19,403367,15,1
MQ_A5-Weekday-085800_SBS86_970,14:42:00,14:42:00,403383,16,1
