trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-100800_SB79_666,16:48:00,16:48:00,403522,1,1
MQ_A5-Weekday-100800_SB79_666,16:51:00,16:51:00,403523,2,1
MQ_A5-Weekday-100800_SB79_666,16:51:52,16:51:52,401024,3,1
MQ_A5-Weekday-100800_SB79_666,16:53:47,16:53:47,401867,4,1
MQ_A5-Weekday-100800_SB79_666,16:54:43,16:54:43,401868,5,1
MQ_A5-Weekday-100800_SB79_666,16:56:55,16:56:55,401869,6,1
MQ_A5-Weekday-100800_SB79_666,16:59:00,16:59:00,401870,7,1
MQ_A5-Weekday-100800_SB79_666,17:00:18,17:00:18,404858,8,1
MQ_A5-Weekday-100800_SB79_666,17:02:13,17:02:13,405169,9,1
MQ_A5-Weekday-100800_SB79_666,17:03:43,17:03:43,405369,10,1
MQ_A5-Weekday-100800_SB79_666,17:05:32,17:05:32,401875,11,1
MQ_A5-Weekday-100800_SB79_666,17:07:23,17:07:23,401876,12,1
MQ_A5-Weekday-100800_SB79_666,17:08:54,17:08:54,401877,13,1
MQ_A5-Weekday-100800_SB79_666,17:11:00,17:11:00,401878,14,1
