arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
23:02:00,23:02:00,402054,1,1
23:03:53,23:03:53,404099,2,1
23:05:02,23:05:02,402142,3,1
23:07:07,23:07:07,402143,4,2
23:08:28,23:08:28,402144,5,2
23:09:28,23:09:28,402145,6,2
23:11:26,23:11:26,404833,7,2
23:12:40,23:12:40,405231,8,1
23:15:00,23:15:00,402152,9,1
23:16:21,23:16:21,402153,10,1
23:17:32,23:17:32,402154,11,1
23:18:44,23:18:44,402155,12,1
23:19:58,23:19:58,403547,13,1
23:20:58,23:20:58,402157,14,1
23:21:50,23:21:50,404926,15,1
23:23:00,23:23:00,404085,16,1
