trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-SDon-010500_SB79_651,1:45:00,1:45:00,403522,1,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:47:00,1:47:00,403523,2,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:47:46,1:47:46,401024,3,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:49:26,1:49:26,401867,4,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:50:15,1:50:15,401868,5,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:52:11,1:52:11,401869,6,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:54:00,1:54:00,401870,7,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:54:45,1:54:45,404858,8,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:55:53,1:55:53,405169,9,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:56:45,1:56:45,405369,10,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:57:49,1:57:49,401875,11,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:58:53,1:58:53,401876,12,1
MQ_A5-Weekday-SDon-010500_SB79_651,1:59:46,1:59:46,401877,13,1
MQ_A5-Weekday-SDon-010500_SB79_651,2:01:00,2:01:00,401878,14,1
