trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-SDon-048100_SB79_X01,8:01:00,8:01:00,403522,1,1
MQ_A5-Weekday-SDon-048100_SB79_X01,8:04:00,8:04:00,403523,2,1
MQ_A5-Weekday-SDon-048100_SB79_X01,8:05:05,8:05:05,401024,3,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:07:29,8:07:29,401867,4,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:08:38,8:08:38,401868,5,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:11:24,8:11:24,401869,6,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:14:00,8:14:00,401870,7,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:15:18,8:15:18,404858,8,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:17:13,8:17:13,405169,9,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:18:43,8:18:43,405369,10,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:20:32,8:20:32,401875,11,2
MQ_A5-Weekday-SDon-048100_SB79_X01,8:22:23,8:22:23,401876,12,1
MQ_A5-Weekday-SDon-048100_SB79_X01,8:23:54,8:23:54,401877,13,1
MQ_A5-Weekday-SDon-048100_SB79_X01,8:26:00,8:26:00,401878,14,1
