trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-SDon-083000_M55_404,13:50:00,13:50:00,405067,1,1
MQ_A5-Weekday-SDon-083000_M55_404,13:51:36,13:51:36,400903,2,1
MQ_A5-Weekday-SDon-083000_M55_404,13:53:21,13:53:21,405256,3,1
MQ_A5-Weekday-SDon-083000_M55_404,13:54:48,13:54:48,400070,4,1
MQ_A5-Weekday-SDon-083000_M55_404,13:56:21,13:56:21,400071,5,1
MQ_A5-Weekday-SDon-083000_M55_404,13:58:00,13:58:00,404108,6,1
MQ_A5-Weekday-SDon-083000_M55_404,13:59:49,13:59:49,405279,7,1
MQ_A5-Weekday-SDon-083000_M55_404,14:00:30,14:00:30,400910,8,1
MQ_A5-Weekday-SDon-083000_M55_404,14:02:04,14:02:04,405024,9,2
MQ_A5-Weekday-SDon-083000_M55_404,14:04:15,14:04:15,400913,10,2
MQ_A5-Weekday-SDon-083000_M55_404,14:05:27,14:05:27,403847,11,2
MQ_A5-Weekday-SDon-083000_M55_404,14:07:00,14:07:00,405635,12,2
MQ_A5-Weekday-SDon-083000_M55_404,14:07:56,14:07:56,400916,13,2
MQ_A5-Weekday-SDon-083000_M55_404,14:08:57,14:08:57,400917,14,2
MQ_A5-Weekday-SDon-083000_M55_404,14:09:50,14:09:50,404132,15,2
MQ_A5-Weekday-SDon-083000_M55_404,14:11:00,14:11:00,400919,16,2
MQ_A5-Weekday-SDon-083000_M55_404,14:12:58,14:12:58,400722,17,2
MQ_A5-Weekday-SDon-083000_M55_404,14:15:00,14:15:00,400723,18,2
MQ_A5-Weekday-SDon-083000_M55_404,14:16:46,14:16:46,400724,19,2
MQ_A5-Weekday-SDon-083000_M55_404,14:18:00,14:18:00,400725,20,2
MQ_A5-Weekday-SDon-083000_M55_404,14:20:21,14:20:21,400726,21,2
MQ_A5-Weekday-SDon-083000_M55_404,14:22:13,14:22:13,404991,22,2
MQ_A5-Weekday-SDon-083000_M55_404,14:24:15,14:24:15,403914,23,2
MQ_A5-Weekday-SDon-083000_M55_404,14:26:36,14:26:36,400929,24,2
MQ_A5-Weekday-SDon-083000_M55_404,14:29:31,14:29:31,400731,25,2
MQ_A5-Weekday-SDon-083000_M55_404,14:31:06,14:31:06,400732,26,2
MQ_A5-Weekday-SDon-083000_M55_404,14:33:00,14:33:00,403769,27,2
MQ_A5-Weekday-SDon-083000_M55_404,14:34:47,14:34:47,400933,28,2
MQ_A5-Weekday-SDon-083000_M55_404,14:37:00,14:37:00,404039,29,2
MQ_A5-Weekday-SDon-083000_M55_404,14:38:33,14:38:33,404040,30,2
MQ_A5-Weekday-SDon-083000_M55_404,14:39:54,14:39:54,400936,31,2
MQ_A5-Weekday-SDon-083000_M55_404,14:41:00,14:41:00,803081,32,2
