arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
15:03:00,15:03:00,403560,1,1
15:03:34,15:03:34,401930,2,1
15:04:24,15:04:24,401897,3,1
15:06:10,15:06:10,401898,4,1
15:07:55,15:07:55,401899,5,1
15:11:02,15:11:02,401900,6,2
15:14:00,15:14:00,401901,7,2
15:16:05,15:16:05,401903,8,1
15:18:38,15:18:38,401905,9,1
15:19:47,15:19:47,401906,10,1
15:21:15,15:21:15,404681,11,1
15:22:41,15:22:41,401908,12,1
15:24:35,15:24:35,401909,13,1
15:25:39,15:25:39,401910,14,1
15:27:19,15:27:19,403367,15,1
15:29:00,15:29:00,403383,16,1
