trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-SDon-093800_SBS14_726,15:38:00,15:38:00,450222,1,3
MQ_A5-Weekday-SDon-093800_SBS14_726,15:40:13,15:40:13,401507,2,3
MQ_A5-Weekday-SDon-093800_SBS14_726,15:43:00,15:43:00,404286,3,3
MQ_A5-Weekday-SDon-093800_SBS14_726,15:44:40,15:44:40,401575,4,3
MQ_A5-Weekday-SDon-093800_SBS14_726,15:46:50,15:46:50,401294,5,3
MQ_A5-Weekday-SDon-093800_SBS14_726,15:48:48,15:48:48,401577,6,4
MQ_A5-Weekday-SDon-093800_SBS14_726,15:51:57,15:51:57,404271,7,4
MQ_A5-Weekday-SDon-093800_SBS14_726,15:54:00,15:54:00,403556,8,5
MQ_A5-Weekday-SDon-093800_SBS14_726,15:55:18,15:55:18,401191,9,5
MQ_A5-Weekday-SDon-093800_SBS14_726,15:56:37,15:56:37,401192,10,5
MQ_A5-Weekday-SDon-093800_SBS14_726,15:58:02,15:58:02,401193,11,5
MQ_A5-Weekday-SDon-093800_SBS14_726,15:59:03,15:59:03,401194,12,5
MQ_A5-Weekday-SDon-093800_SBS14_726,16:00:25,16:00:25,401195,13,4
MQ_A5-Weekday-SDon-093800_SBS14_726,16:01:49,16:01:49,401587,14,4
MQ_A5-Weekday-SDon-093800_SBS14_726,16:03:02,16:03:02,401589,15,3
MQ_A5-Weekday-SDon-093800_SBS14_726,16:05:15,16:05:15,401591,16,3
MQ_A5-Weekday-SDon-093800_SBS14_726,16:07:24,16:07:24,401595,17,2
MQ_A5-Weekday-SDon-093800_SBS14_726,16:08:21,16:08:21,401596,18,2
MQ_A5-Weekday-SDon-093800_SBS14_726,16:09:31,16:09:31,403808,19,2
MQ_A5-Weekday-SDon-093800_SBS14_726,16:11:04,16:11:04,401599,20,2
MQ_A5-Weekday-SDon-093800_SBS14_726,16:12:47,16:12:47,401600,21,2
MQ_A5-Weekday-SDon-093800_SBS14_726,16:13:58,16:13:58,403557,22,1
MQ_A5-Weekday-SDon-093800_SBS14_726,16:16:00,16:16:00,903088,23,1
