arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
8:24:00,8:24:00,404911,1,1
8:24:53,8:24:53,401036,2,1
8:26:00,8:26:00,401037,3,1
8:27:09,8:27:09,401038,4,1
8:28:47,8:28:47,401039,5,1
8:30:08,8:30:08,405087,6,1
8:31:52,8:31:52,405092,7,1
8:33:31,8:33:31,400394,8,2
8:35:00,8:35:00,401044,9,3
8:37:07,8:37:07,401045,10,3
8:39:00,8:39:00,401988,11,3
8:41:06,8:41:06,401989,12,3
8:43:00,8:43:00,401990,13,3
8:45:29,8:45:29,401992,14,2
8:47:31,8:47:31,401993,15,2
8:49:09,8:49:09,401994,16,2
8:52:00,8:52:00,401727,17,2
8:52:17,8:52:17,401729,18,2
8:52:26,8:52:26,401730,19,1
8:53:00,8:53:00,803059,20,1
