trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MV_A5-Weekday-055400_M96_X02,9:14:00,9:14:00,401954,1,1
MV_A5-Weekday-055400_M96_X02,9:14:31,9:14:31,401955,2,1
MV_A5-Weekday-055400_M96_X02,9:15:22,9:15:22,403632,3,1
MV_A5-Weekday-055400_M96_X02,9:16:51,9:16:51,401957,4,2
MV_A5-Weekday-055400_M96_X02,9:18:00,9:18:00,401958,5,2
MV_A5-Weekday-055400_M96_X02,9:21:03,9:21:03,401960,6,2
MV_A5-Weekday-055400_M96_X02,9:24:00,9:24:00,401961,7,2
MV_A5-Weekday-055400_M96_X02,9:27:00,9:27:00,401331,8,1
MV_A5-Weekday-055400_M96_X02,9:30:08,9:30:08,404075,9,1
MV_A5-Weekday-055400_M96_X02,9:31:56,9:31:56,401964,10,1
MV_A5-Weekday-055400_M96_X02,9:33:00,9:33:00,401965,11,1
MV_A5-Weekday-055400_M96_X02,9:34:53,9:34:53,401966,12,1
MV_A5-Weekday-055400_M96_X02,9:36:00,9:36:00,903004,13,1
