arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
16:02:00,16:02:00,403835,1,1
16:04:00,16:04:00,400639,2,1
16:05:54,16:05:54,400640,3,1
16:07:25,16:07:25,400641,4,1
16:08:39,16:08:39,400642,5,1
16:09:33,16:09:33,400643,6,1
16:10:28,16:10:28,400644,7,1
16:11:31,16:11:31,400645,8,2
16:12:43,16:12:43,400646,9,2
16:13:59,16:13:59,400647,10,2
16:15:02,16:15:02,400648,11,2
16:16:03,16:16:03,400649,12,2
16:17:00,16:17:00,403373,13,2
16:18:51,16:18:51,403374,14,1
16:19:56,16:19:56,403375,15,1
16:21:02,16:21:02,403376,16,1
16:22:21,16:22:21,403377,17,1
16:24:21,16:24:21,400655,18,1
16:26:06,16:26:06,400656,19,1
16:27:58,16:27:58,400657,20,1
16:29:15,16:29:15,400658,21,1
16:31:10,16:31:10,400659,22,1
16:32:00,16:32:00,403483,23,1
16:34:07,16:34:07,400661,24,1
16:35:14,16:35:14,400662,25,1
16:36:20,16:36:20,400663,26,1
16:38:00,16:38:00,803157,27,1
16:40:00,16:40:00,404148,28,1
16:42:07,16:42:07,403903,29,1
16:43:10,16:43:10,403142,30,1
16:44:20,16:44:20,403144,31,1
16:46:10,16:46:10,403145,32,2
16:47:26,16:47:26,405234,33,2
16:49:36,16:49:36,403147,34,2
16:50:47,16:50:47,403148,35,2
16:51:56,16:51:56,403149,36,2
16:53:24,16:53:24,400676,37,2
16:55:16,16:55:16,400677,38,2
16:57:11,16:57:11,400678,39,2
16:58:00,16:58:00,400485,40,2
16:59:43,16:59:43,400486,41,2
17:02:00,17:02:00,400290,42,2
17:04:15,17:04:15,404278,43,2
17:06:00,17:06:00,400292,44,2
17:07:33,17:07:33,400108,45,2
17:08:46,17:08:46,400109,46,2
17:09:54,17:09:54,400110,47,2
17:11:08,17:11:08,400111,48,2
17:13:18,17:13:18,404081,49,2
17:14:48,17:14:48,404168,50,2
17:15:43,17:15:43,400115,51,2
17:16:57,17:16:57,400116,52,2
17:18:03,17:18:03,400117,53,2
17:19:42,17:19:42,400118,54,2
17:21:18,17:21:18,400119,55,2
17:23:42,17:23:42,400120,56,1
17:24:40,17:24:40,400121,57,1
17:25:42,17:25:42,400122,58,1
17:26:51,17:26:51,400123,59,1
17:29:00,17:29:00,400124,60,4
17:31:13,17:31:13,400125,61,4
17:33:48,17:33:48,400126,62,4
17:35:43,17:35:43,400127,63,4
17:37:02,17:37:02,400128,64,1
17:38:39,17:38:39,400512,65,3
17:42:05,17:42:05,403266,66,3
17:44:26,17:44:26,400514,67,3
17:46:50,17:46:50,400515,68,3
17:49:14,17:49:14,400516,69,1
17:50:52,17:50:52,405179,70,1
17:53:00,17:53:00,400518,71,1
17:55:25,17:55:25,400519,72,1
17:56:51,17:56:51,405486,73,1
18:00:00,18:00:00,903128,74,1
