trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MV_A5-Weekday-106300_M96_835,17:43:00,17:43:00,401933,1,2
MV_A5-Weekday-106300_M96_835,17:45:00,17:45:00,401934,2,2
MV_A5-Weekday-106300_M96_835,17:46:18,17:46:18,401935,3,1
MV_A5-Weekday-106300_M96_835,17:48:57,17:48:57,401936,4,1
MV_A5-Weekday-106300_M96_835,17:51:00,17:51:00,401937,5,1
MV_A5-Weekday-106300_M96_835,17:58:05,17:58:05,404087,6,1
MV_A5-Weekday-106300_M96_835,17:59:10,17:59:10,401939,7,1
MV_A5-Weekday-106300_M96_835,18:01:00,18:01:00,401941,8,1
MV_A5-Weekday-106300_M96_835,18:02:07,18:02:07,401942,9,1
MV_A5-Weekday-106300_M96_835,18:03:10,18:03:10,401943,10,1
MV_A5-Weekday-106300_M96_835,18:05:00,18:05:00,903003,11,1
