arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
7:14:00,7:14:00,400808,1,1
7:15:04,7:15:04,400809,2,1
7:15:58,7:15:58,400810,3,1
7:16:52,7:16:52,400811,4,1
7:17:29,7:17:29,400812,5,1
7:19:03,7:19:03,404918,6,1
7:20:22,7:20:22,400814,7,1
7:21:10,7:21:10,400815,8,1
7:22:00,7:22:00,400816,9,1
7:23:00,7:23:00,400655,10,1
7:25:13,7:25:13,400657,11,1
7:27:41,7:27:41,403483,12,1
7:29:56,7:29:56,400662,13,1
7:32:00,7:32:00,404011,14,1
7:32:26,7:32:26,404012,15,1
7:34:46,7:34:46,404822,16,1
7:36:02,7:36:02,404259,17,1
7:36:56,7:36:56,405580,18,1
7:37:49,7:37:49,400834,19,1
7:38:23,7:38:23,400835,20,1
7:38:54,7:38:54,400836,21,1
7:39:59,7:39:59,400837,22,1
7:40:31,7:40:31,400838,23,1
7:41:05,7:41:05,404130,24,1
7:42:16,7:42:16,400840,25,1
7:43:00,7:43:00,400841,26,1
7:44:24,7:44:24,404131,27,1
7:45:40,7:45:40,400843,28,1
7:46:57,7:46:57,404855,29,1
7:48:13,7:48:13,400846,30,2
7:49:08,7:49:08,400847,31,2
7:50:06,7:50:06,400848,32,2
7:51:00,7:51:00,400849,33,2
7:52:55,7:52:55,400851,34,2
7:54:02,7:54:02,400852,35,2
7:55:39,7:55:39,400853,36,2
7:56:42,7:56:42,400854,37,2
8:00:20,8:00:20,403171,38,3
8:04:00,8:04:00,400861,39,3
8:07:57,8:07:57,403047,40,2
8:11:07,8:11:07,402446,41,2
8:14:58,8:14:58,450123,42,2
8:20:00,8:20:00,400135,43,1
8:21:28,8:21:28,400322,44,1
8:22:56,8:22:56,400323,45,1
8:24:30,8:24:30,400324,46,1
8:27:00,8:27:00,803082,47,1
