trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MV_A5-Weekday-SDon-045700_M2_207,7:37:00,7:37:00,405527,1,1
MV_A5-Weekday-SDon-045700_M2_207,7:40:12,7:40:12,404120,2,1
MV_A5-Weekday-SDon-045700_M2_207,7:44:23,7:44:23,403782,3,1
MV_A5-Weekday-SDon-045700_M2_207,7:48:00,7:48:00,405380,4,1
MV_A5-Weekday-SDon-045700_M2_207,7:51:47,7:51:47,400190,5,1
MV_A5-Weekday-SDon-045700_M2_207,7:56:25,7:56:25,400018,6,1
MV_A5-Weekday-SDon-045700_M2_207,8:00:27,8:00:27,400021,7,1
MV_A5-Weekday-SDon-045700_M2_207,8:05:00,8:05:00,400024,8,1
MV_A5-Weekday-SDon-045700_M2_207,8:09:02,8:09:02,400028,9,1
MV_A5-Weekday-SDon-045700_M2_207,8:11:14,8:11:14,400030,10,1
MV_A5-Weekday-SDon-045700_M2_207,8:14:12,8:14:12,400033,11,1
MV_A5-Weekday-SDon-045700_M2_207,8:17:11,8:17:11,400036,12,1
MV_A5-Weekday-SDon-045700_M2_207,8:21:00,8:21:00,404191,13,1
MV_A5-Weekday-SDon-045700_M2_207,8:22:46,8:22:46,400042,14,1
MV_A5-Weekday-SDon-045700_M2_207,8:24:25,8:24:25,400045,15,1
MV_A5-Weekday-SDon-045700_M2_207,8:26:00,8:26:00,404856,16,1
MV_A5-Weekday-SDon-045700_M2_207,8:27:00,8:27:00,403267,17,1
MV_A5-Weekday-SDon-045700_M2_207,8:28:30,8:28:30,400224,18,1
MV_A5-Weekday-SDon-045700_M2_207,8:30:00,8:30:00,400225,19,1
MV_A5-Weekday-SDon-045700_M2_207,8:31:54,8:31:54,400226,20,1
MV_A5-Weekday-SDon-045700_M2_207,8:33:32,8:33:32,400228,21,1
MV_A5-Weekday-SDon-045700_M2_207,8:35:09,8:35:09,404963,22,1
MV_A5-Weekday-SDon-045700_M2_207,8:36:11,8:36:11,400230,23,1
MV_A5-Weekday-SDon-045700_M2_207,8:36:58,8:36:58,400231,24,1
MV_A5-Weekday-SDon-045700_M2_207,8:38:20,8:38:20,404283,25,1
MV_A5-Weekday-SDon-045700_M2_207,8:39:26,8:39:26,400233,26,1
MV_A5-Weekday-SDon-045700_M2_207,8:40:29,8:40:29,400234,27,1
MV_A5-Weekday-SDon-045700_M2_207,8:41:31,8:41:31,400235,28,1
MV_A5-Weekday-SDon-045700_M2_207,8:42:33,8:42:33,400236,29,1
MV_A5-Weekday-SDon-045700_M2_207,8:43:42,8:43:42,400237,30,1
MV_A5-Weekday-SDon-045700_M2_207,8:44:44,8:44:44,400227,31,1
MV_A5-Weekday-SDon-045700_M2_207,8:45:47,8:45:47,400238,32,1
MV_A5-Weekday-SDon-045700_M2_207,8:46:50,8:46:50,400239,33,1
MV_A5-Weekday-SDon-045700_M2_207,8:47:52,8:47:52,400240,34,1
MV_A5-Weekday-SDon-045700_M2_207,8:49:00,8:49:00,400241,35,1
MV_A5-Weekday-SDon-045700_M2_207,8:49:48,8:49:48,400242,36,1
MV_A5-Weekday-SDon-045700_M2_207,8:50:34,8:50:34,404129,37,1
MV_A5-Weekday-SDon-045700_M2_207,8:51:27,8:51:27,403338,38,1
MV_A5-Weekday-SDon-045700_M2_207,8:52:03,8:52:03,404837,39,1
MV_A5-Weekday-SDon-045700_M2_207,8:56:05,8:56:05,400248,40,1
MV_A5-Weekday-SDon-045700_M2_207,8:57:20,8:57:20,400249,41,1
MV_A5-Weekday-SDon-045700_M2_207,8:58:12,8:58:12,400250,42,1
MV_A5-Weekday-SDon-045700_M2_207,8:58:56,8:58:56,400251,43,1
MV_A5-Weekday-SDon-045700_M2_207,8:59:48,8:59:48,400252,44,1
MV_A5-Weekday-SDon-045700_M2_207,9:00:51,9:00:51,403907,45,1
MV_A5-Weekday-SDon-045700_M2_207,9:03:00,9:03:00,404876,46,1
