trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MV_A5-Weekday-SDon-055000_M116_X02,9:10:00,9:10:00,401998,1,2
MV_A5-Weekday-SDon-055000_M116_X02,9:10:37,9:10:37,405315,2,2
MV_A5-Weekday-SDon-055000_M116_X02,9:11:00,9:11:00,401999,3,2
MV_A5-Weekday-SDon-055000_M116_X02,9:12:26,9:12:26,402000,4,2
MV_A5-Weekday-SDon-055000_M116_X02,9:14:58,9:14:58,402001,5,2
MV_A5-Weekday-SDon-055000_M116_X02,9:16:21,9:16:21,402002,6,3
MV_A5-Weekday-SDon-055000_M116_X02,9:17:49,9:17:49,402003,7,3
MV_A5-Weekday-SDon-055000_M116_X02,9:18:59,9:18:59,402004,8,3
MV_A5-Weekday-SDon-055000_M116_X02,9:21:00,9:21:00,402005,9,3
MV_A5-Weekday-SDon-055000_M116_X02,9:21:52,9:21:52,402006,10,3
MV_A5-Weekday-SDon-055000_M116_X02,9:25:00,9:25:00,404274,11,2
MV_A5-Weekday-SDon-055000_M116_X02,9:27:24,9:27:24,401078,12,2
MV_A5-Weekday-SDon-055000_M116_X02,9:29:00,9:29:00,401079,13,2
MV_A5-Weekday-SDon-055000_M116_X02,9:30:26,9:30:26,400482,14,2
MV_A5-Weekday-SDon-055000_M116_X02,9:31:18,9:31:18,400483,15,2
MV_A5-Weekday-SDon-055000_M116_X02,9:32:49,9:32:49,400484,16,1
MV_A5-Weekday-SDon-055000_M116_X02,9:34:04,9:34:04,403392,17,2
MV_A5-Weekday-SDon-055000_M116_X02,9:35:07,9:35:07,401084,18,2
MV_A5-Weekday-SDon-055000_M116_X02,9:36:01,9:36:01,401085,19,1
MV_A5-Weekday-SDon-055000_M116_X02,9:37:00,9:37:00,402016,20,1
MV_A5-Weekday-SDon-055000_M116_X02,9:37:41,9:37:41,402017,21,1
MV_A5-Weekday-SDon-055000_M116_X02,9:38:00,9:38:00,401977,22,1
