arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
4:30:00,4:30:00,400087,1,1
4:30:28,4:30:28,400088,2,1
4:31:32,4:31:32,400089,3,1
4:32:30,4:32:30,404339,4,1
4:33:08,4:33:08,404338,5,1
4:33:49,4:33:49,401069,6,1
4:34:43,4:34:43,401070,7,1
4:35:42,4:35:42,404337,8,1
4:36:20,4:36:20,404336,9,1
4:37:00,4:37:00,404284,10,1
4:37:46,4:37:46,401074,11,1
4:38:36,4:38:36,404978,12,1
4:39:22,4:39:22,404274,13,1
4:40:21,4:40:21,401078,14,1
4:41:00,4:41:00,401079,15,1
4:41:41,4:41:41,400482,16,1
4:42:05,4:42:05,400483,17,1
4:42:48,4:42:48,400484,18,1
4:43:24,4:43:24,403392,19,1
4:43:54,4:43:54,401084,20,1
4:44:19,4:44:19,401085,21,1
4:45:00,4:45:00,401086,22,1
4:45:50,4:45:50,401087,23,1
4:46:26,4:46:26,401088,24,1
4:47:06,4:47:06,403362,25,1
4:47:50,4:47:50,401090,26,1
4:48:19,4:48:19,401091,27,1
4:49:00,4:49:00,401092,28,1
4:49:45,4:49:45,401093,29,1
4:50:13,4:50:13,401094,30,1
4:51:00,4:51:00,404838,31,1
4:51:40,4:51:40,401096,32,1
4:52:23,4:52:23,403372,33,1
4:53:06,4:53:06,401099,34,1
4:53:47,4:53:47,401100,35,1
4:54:20,4:54:20,401101,36,1
4:55:00,4:55:00,400858,37,1
4:55:50,4:55:50,400860,38,1
4:56:22,4:56:22,903233,39,1
4:56:30,4:56:30,400861,40,1
4:56:56,4:56:56,403781,41,1
4:58:01,4:58:01,405291,42,1
4:58:49,4:58:49,400950,43,1
4:59:20,4:59:20,405295,44,1
5:00:00,5:00:00,403797,45,1
5:01:23,5:01:23,405297,46,1
5:02:07,5:02:07,450045,47,1
5:03:15,5:03:15,401359,48,1
5:04:00,5:04:00,401360,49,1
5:04:35,5:04:35,401361,50,1
5:05:10,5:05:10,401363,51,1
5:05:47,5:05:47,401364,52,1
5:06:13,5:06:13,404244,53,1
5:06:48,5:06:48,401366,54,1
5:07:21,5:07:21,405298,55,1
5:08:03,5:08:03,401294,56,1
5:09:00,5:09:00,903325,57,1
