arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
8:02:00,8:02:00,903093,1,2
8:06:00,8:06:00,405322,2,2
8:09:29,8:09:29,405323,3,2
8:11:00,8:11:00,404995,4,2
8:13:09,8:13:09,403480,5,3
8:16:13,8:16:13,401698,6,3
8:18:48,8:18:48,401701,7,3
8:21:55,8:21:55,401704,8,3
8:25:30,8:25:30,401707,9,1
8:30:07,8:30:07,401712,10,1
8:32:48,8:32:48,401715,11,1
8:37:00,8:37:00,903102,12,1
8:39:16,8:39:16,401723,13,1
8:41:52,8:41:52,401727,14,1
8:44:00,8:44:00,401731,15,1
8:46:00,8:46:00,803054,16,1
