arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
15:28:00,15:28:00,401732,1,1
15:28:52,15:28:52,401738,2,2
15:32:51,15:32:51,405348,3,2
15:36:55,15:36:55,405653,4,2
15:40:00,15:40:00,803182,5,2
15:44:46,15:44:46,903129,6,3
15:48:45,15:48:45,401756,7,3
15:54:11,15:54:11,401761,8,3
15:59:41,15:59:41,401765,9,3
16:03:06,16:03:06,401768,10,2
16:07:07,16:07:07,401771,11,4
16:11:16,16:11:16,405342,12,4
16:13:49,16:13:49,403525,13,5
16:16:30,16:16:30,401779,14,5
16:21:01,16:21:01,405340,15,5
16:27:38,16:27:38,803109,16,5
16:29:00,16:29:00,403849,17,2
16:32:34,16:32:34,405373,18,2
16:36:49,16:36:49,402112,19,2
16:40:40,16:40:40,403590,20,2
16:42:45,16:42:45,403754,21,2
16:46:00,16:46:00,803120,22,2
