trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
OF_A5-Weekday-SDon-068200_M1_112,11:22:00,11:22:00,400087,1,1
OF_A5-Weekday-SDon-068200_M1_112,11:23:03,11:23:03,400088,2,1
OF_A5-Weekday-SDon-068200_M1_112,11:25:30,11:25:30,400089,3,1
OF_A5-Weekday-SDon-068200_M1_112,11:27:42,11:27:42,404339,4,1
OF_A5-Weekday-SDon-068200_M1_112,11:29:10,11:29:10,404338,5,2
OF_A5-Weekday-SDon-068200_M1_112,11:30:44,11:30:44,401069,6,2
OF_A5-Weekday-SDon-068200_M1_112,11:32:46,11:32:46,401070,7,2
OF_A5-Weekday-SDon-068200_M1_112,11:35:01,11:35:01,404337,8,2
OF_A5-Weekday-SDon-068200_M1_112,11:36:27,11:36:27,404336,9,3
OF_A5-Weekday-SDon-068200_M1_112,11:38:00,11:38:00,404284,10,3
OF_A5-Weekday-SDon-068200_M1_112,11:39:32,11:39:32,401074,11,2
OF_A5-Weekday-SDon-068200_M1_112,11:41:11,11:41:11,404978,12,3
OF_A5-Weekday-SDon-068200_M1_112,11:42:44,11:42:44,404274,13,3
OF_A5-Weekday-SDon-068200_M1_112,11:44:42,11:44:42,401078,14,2
OF_A5-Weekday-SDon-068200_M1_112,11:46:00,11:46:00,401079,15,2
OF_A5-Weekday-SDon-068200_M1_112,11:47:22,11:47:22,400482,16,2
OF_A5-Weekday-SDon-068200_M1_112,11:48:10,11:48:10,400483,17,2
OF_A5-Weekday-SDon-068200_M1_112,11:49:36,11:49:36,400484,18,2
OF_A5-Weekday-SDon-068200_M1_112,11:50:47,11:50:47,403392,19,2
OF_A5-Weekday-SDon-068200_M1_112,11:51:47,11:51:47,401084,20,2
OF_A5-Weekday-SDon-068200_M1_112,11:52:38,11:52:38,401085,21,2
OF_A5-Weekday-SDon-068200_M1_112,11:54:00,11:54:00,401086,22,2
OF_A5-Weekday-SDon-068200_M1_112,11:56:30,11:56:30,401087,23,2
OF_A5-Weekday-SDon-068200_M1_112,11:58:18,11:58:18,401088,24,2
OF_A5-Weekday-SDon-068200_M1_112,12:00:19,12:00:19,403362,25,2
OF_A5-Weekday-SDon-068200_M1_112,12:02:31,12:02:31,401090,26,2
OF_A5-Weekday-SDon-068200_M1_112,12:03:56,12:03:56,401091,27,2
OF_A5-Weekday-SDon-068200_M1_112,12:06:01,12:06:01,401092,28,2
OF_A5-Weekday-SDon-068200_M1_112,12:08:14,12:08:14,401093,29,2
OF_A5-Weekday-SDon-068200_M1_112,12:09:40,12:09:40,401094,30,2
OF_A5-Weekday-SDon-068200_M1_112,12:12:00,12:12:00,404838,31,2
OF_A5-Weekday-SDon-068200_M1_112,12:13:30,12:13:30,401096,32,2
OF_A5-Weekday-SDon-068200_M1_112,12:15:07,12:15:07,403372,33,2
OF_A5-Weekday-SDon-068200_M1_112,12:16:44,12:16:44,401099,34,2
OF_A5-Weekday-SDon-068200_M1_112,12:18:16,12:18:16,401100,35,2
OF_A5-Weekday-SDon-068200_M1_112,12:19:30,12:19:30,401101,36,2
OF_A5-Weekday-SDon-068200_M1_112,12:21:00,12:21:00,400858,37,2
OF_A5-Weekday-SDon-068200_M1_112,12:22:40,12:22:40,400860,38,2
OF_A5-Weekday-SDon-068200_M1_112,12:23:44,12:23:44,903233,39,2
OF_A5-Weekday-SDon-068200_M1_112,12:24:00,12:24:00,400861,40,2
OF_A5-Weekday-SDon-068200_M1_112,12:24:52,12:24:52,403781,41,2
OF_A5-Weekday-SDon-068200_M1_112,12:27:01,12:27:01,405291,42,2
OF_A5-Weekday-SDon-068200_M1_112,12:28:38,12:28:38,400950,43,2
OF_A5-Weekday-SDon-068200_M1_112,12:29:41,12:29:41,405295,44,2
OF_A5-Weekday-SDon-068200_M1_112,12:31:00,12:31:00,403797,45,2
OF_A5-Weekday-SDon-068200_M1_112,12:34:26,12:34:26,405297,46,1
OF_A5-Weekday-SDon-068200_M1_112,12:36:19,12:36:19,450045,47,1
OF_A5-Weekday-SDon-068200_M1_112,12:39:07,12:39:07,401359,48,1
OF_A5-Weekday-SDon-068200_M1_112,12:41:00,12:41:00,401360,49,1
OF_A5-Weekday-SDon-068200_M1_112,12:42:16,12:42:16,401361,50,1
OF_A5-Weekday-SDon-068200_M1_112,12:43:35,12:43:35,401363,51,1
OF_A5-Weekday-SDon-068200_M1_112,12:44:55,12:44:55,401364,52,1
OF_A5-Weekday-SDon-068200_M1_112,12:45:53,12:45:53,404244,53,1
OF_A5-Weekday-SDon-068200_M1_112,12:47:10,12:47:10,401366,54,1
OF_A5-Weekday-SDon-068200_M1_112,12:48:22,12:48:22,405298,55,1
OF_A5-Weekday-SDon-068200_M1_112,12:49:54,12:49:54,401294,56,1
OF_A5-Weekday-SDon-068200_M1_112,12:52:00,12:52:00,903325,57,1
