arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
14:34:00,14:34:00,401732,1,2
14:34:52,14:34:52,401738,2,2
14:38:51,14:38:51,405348,3,2
14:42:55,14:42:55,405653,4,2
14:46:00,14:46:00,803182,5,2
14:50:46,14:50:46,903129,6,2
14:54:45,14:54:45,401756,7,2
15:00:11,15:00:11,401761,8,2
15:05:41,15:05:41,401765,9,2
15:09:06,15:09:06,401768,10,2
15:13:07,15:13:07,401771,11,3
15:17:16,15:17:16,405342,12,3
15:19:49,15:19:49,403525,13,3
15:22:30,15:22:30,401779,14,3
15:27:01,15:27:01,405340,15,3
15:33:38,15:33:38,803109,16,2
15:35:00,15:35:00,403849,17,3
15:38:22,15:38:22,405373,18,3
15:42:22,15:42:22,402112,19,2
15:45:59,15:45:59,403590,20,1
15:47:57,15:47:57,403754,21,1
15:51:00,15:51:00,803120,22,1
