arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
12:51:00,12:51:00,903341,1,1
12:54:42,12:54:42,404008,2,1
12:55:39,12:55:39,402764,3,1
12:56:58,12:56:58,405186,4,1
12:57:48,12:57:48,402766,5,1
12:58:51,12:58:51,402767,6,1
13:00:44,13:00:44,402769,7,1
13:02:23,13:02:23,405069,8,1
13:03:48,13:03:48,402772,9,1
13:04:54,13:04:54,402773,10,1
13:05:48,13:05:48,402774,11,1
13:07:21,13:07:21,405070,12,1
13:09:00,13:09:00,404949,13,1
13:10:55,13:10:55,402638,14,1
13:12:09,13:12:09,402639,15,1
13:14:03,13:14:03,402641,16,1
13:15:32,13:15:32,402642,17,1
13:16:32,13:16:32,402643,18,1
13:18:15,13:18:15,402644,19,1
13:19:24,13:19:24,402645,20,1
13:21:04,13:21:04,402646,21,1
13:22:08,13:22:08,402647,22,2
13:23:47,13:23:47,405078,23,2
13:26:03,13:26:03,401458,24,2
13:27:03,13:27:03,401459,25,2
13:29:00,13:29:00,402653,26,2
13:30:41,13:30:41,402723,27,2
13:32:48,13:32:48,405416,28,2
13:33:46,13:33:46,402657,29,2
13:36:17,13:36:17,402658,30,2
13:38:45,13:38:45,402659,31,2
13:41:31,13:41:31,402660,32,2
13:42:54,13:42:54,402661,33,2
13:44:24,13:44:24,402662,34,1
13:46:00,13:46:00,404255,35,1
13:50:47,13:50:47,403416,36,1
13:55:59,13:55:59,403417,37,1
13:59:00,13:59:00,402816,38,1
14:07:00,14:07:00,403418,39,1
14:12:55,14:12:55,403419,40,1
14:17:10,14:17:10,402826,41,1
14:21:31,14:21:31,403421,42,1
14:24:00,14:24:00,403422,43,1
14:29:00,14:29:00,404171,44,1
14:33:25,14:33:25,403424,45,1
14:38:00,14:38:00,403425,46,1
14:40:58,14:40:58,403821,47,1
14:46:00,14:46:00,402854,48,1
14:50:17,14:50:17,404106,49,1
14:53:00,14:53:00,903148,50,1
