trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
OH_A5-Weekday-BM-143300_M101_1,23:53:00,23:53:00,404255,1,1
OH_A5-Weekday-BM-143300_M101_1,23:53:55,23:53:55,402805,2,1
OH_A5-Weekday-BM-143300_M101_1,23:54:53,23:54:53,405057,3,1
OH_A5-Weekday-BM-143300_M101_1,23:55:56,23:55:56,403416,4,1
OH_A5-Weekday-BM-143300_M101_1,23:56:26,23:56:26,402809,5,1
OH_A5-Weekday-BM-143300_M101_1,23:57:47,23:57:47,402811,6,1
OH_A5-Weekday-BM-143300_M101_1,23:59:09,23:59:09,403417,7,1
OH_A5-Weekday-BM-143300_M101_1,23:59:50,23:59:50,401973,8,1
OH_A5-Weekday-BM-143300_M101_1,24:00:27,24:00:27,401974,9,1
OH_A5-Weekday-BM-143300_M101_1,24:01:00,24:01:00,402816,10,1
OH_A5-Weekday-BM-143300_M101_1,24:01:44,24:01:44,403749,11,1
OH_A5-Weekday-BM-143300_M101_1,24:03:00,24:03:00,403418,12,1
OH_A5-Weekday-BM-143300_M101_1,24:03:22,24:03:22,402819,13,1
OH_A5-Weekday-BM-143300_M101_1,24:03:52,24:03:52,404947,14,1
OH_A5-Weekday-BM-143300_M101_1,24:04:29,24:04:29,405066,15,1
OH_A5-Weekday-BM-143300_M101_1,24:05:05,24:05:05,403419,16,1
OH_A5-Weekday-BM-143300_M101_1,24:05:48,24:05:48,404321,17,1
OH_A5-Weekday-BM-143300_M101_1,24:06:35,24:06:35,402826,18,1
OH_A5-Weekday-BM-143300_M101_1,24:07:07,24:07:07,404854,19,1
OH_A5-Weekday-BM-143300_M101_1,24:07:46,24:07:46,402829,20,1
OH_A5-Weekday-BM-143300_M101_1,24:08:07,24:08:07,403421,21,1
OH_A5-Weekday-BM-143300_M101_1,24:08:39,24:08:39,402831,22,1
OH_A5-Weekday-BM-143300_M101_1,24:09:00,24:09:00,403422,23,1
OH_A5-Weekday-BM-143300_M101_1,24:09:53,24:09:53,803158,24,1
OH_A5-Weekday-BM-143300_M101_1,24:10:23,24:10:23,402835,25,1
OH_A5-Weekday-BM-143300_M101_1,24:11:00,24:11:00,404171,26,1
OH_A5-Weekday-BM-143300_M101_1,24:11:42,24:11:42,402838,27,1
OH_A5-Weekday-BM-143300_M101_1,24:12:35,24:12:35,803163,28,1
OH_A5-Weekday-BM-143300_M101_1,24:12:58,24:12:58,403424,29,1
OH_A5-Weekday-BM-143300_M101_1,24:13:50,24:13:50,402842,30,1
OH_A5-Weekday-BM-143300_M101_1,24:15:00,24:15:00,403425,31,1
OH_A5-Weekday-BM-143300_M101_1,24:15:26,24:15:26,402845,32,1
OH_A5-Weekday-BM-143300_M101_1,24:16:06,24:16:06,405530,33,1
OH_A5-Weekday-BM-143300_M101_1,24:16:51,24:16:51,403821,34,1
OH_A5-Weekday-BM-143300_M101_1,24:17:43,24:17:43,403822,35,1
OH_A5-Weekday-BM-143300_M101_1,24:18:25,24:18:25,402851,36,1
OH_A5-Weekday-BM-143300_M101_1,24:18:55,24:18:55,402852,37,1
OH_A5-Weekday-BM-143300_M101_1,24:19:23,24:19:23,405272,38,1
OH_A5-Weekday-BM-143300_M101_1,24:20:00,24:20:00,402854,39,1
OH_A5-Weekday-BM-143300_M101_1,24:21:10,24:21:10,403772,40,1
OH_A5-Weekday-BM-143300_M101_1,24:22:07,24:22:07,402856,41,1
OH_A5-Weekday-BM-143300_M101_1,24:23:07,24:23:07,404106,42,1
OH_A5-Weekday-BM-143300_M101_1,24:24:08,24:24:08,402858,43,1
OH_A5-Weekday-BM-143300_M101_1,24:25:00,24:25:00,404092,44,1
OH_A5-Weekday-BM-143300_M101_1,24:25:59,24:25:59,903276,45,1
OH_A5-Weekday-BM-143300_M101_1,24:26:44,24:26:44,402862,46,1
OH_A5-Weekday-BM-143300_M101_1,24:27:25,24:27:25,402863,47,1
OH_A5-Weekday-BM-143300_M101_1,24:28:09,24:28:09,402864,48,1
OH_A5-Weekday-BM-143300_M101_1,24:29:00,24:29:00,402865,49,1
OH_A5-Weekday-BM-143300_M101_1,24:29:49,24:29:49,402867,50,1
OH_A5-Weekday-BM-143300_M101_1,24:30:48,24:30:48,402868,51,1
OH_A5-Weekday-BM-143300_M101_1,24:31:19,24:31:19,402869,52,1
OH_A5-Weekday-BM-143300_M101_1,24:32:12,24:32:12,803077,53,1
OH_A5-Weekday-BM-143300_M101_1,24:35:00,24:35:00,903282,54,1
