arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
11:21:00,11:21:00,405003,1,1
11:22:06,11:22:06,401916,2,1
11:24:03,11:24:03,401917,3,1
11:25:20,11:25:20,402345,4,1
11:26:53,11:26:53,402346,5,1
11:28:09,11:28:09,402347,6,2
11:30:17,11:30:17,402348,7,2
11:31:36,11:31:36,402349,8,2
11:33:29,11:33:29,403726,9,2
11:35:00,11:35:00,402351,10,2
11:36:44,11:36:44,403297,11,3
11:39:00,11:39:00,903344,12,3
11:40:38,11:40:38,402355,13,2
11:41:39,11:41:39,405389,14,3
11:45:00,11:45:00,404266,15,3
11:47:53,11:47:53,402222,16,2
11:50:00,11:50:00,402223,17,2
11:52:01,11:52:01,402224,18,2
11:53:25,11:53:25,403617,19,2
11:56:00,11:56:00,803117,20,2
11:57:38,11:57:38,402228,21,2
12:00:15,12:00:15,402229,22,2
12:02:30,12:02:30,400744,23,2
12:04:00,12:04:00,400745,24,2
12:07:04,12:07:04,402233,25,2
12:09:36,12:09:36,403986,26,1
12:14:00,12:14:00,903074,27,1
